ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
26,"Tlg app shopee foodnya jgn di aktifkan kalau belum ready bos !!.. terutama pagi ya.. karena merchant chatime tidak bs di hubungi, clu gini kasihan para drivernya bos kena dompret customer",1,187,tlg app shopee foodnya jgn aktif kalau ready bos utama pagi karena merchant chatime bs hubung clu gin kasihan drivernya bos kena dompret customer,145
27,"Salah satu minuman yang aku suka, wajib banget cobain.",5,54,salah satu minum aku suka wajib banget cobain,45
28,"Pelayanan lama, soalnya baristanya satu aja",2,43,layan lama soal baristanya satu aja,35
29,Rasa dan kualitas sesuai. Semoga tetap konsisten mengenai rasa di counter ini,4,77,rasa kualitas sesuai moga tetap konsisten kena rasa counter,59
30,"Tempatnya agak kecil ya jadi kalau didalem full harus yang outdoor, apalagi kalau ada kegiatan di gor nya ga bakal kebagian di dalam.",5,133,tempat kecil jadi kalau dalem full outdoor kalau giat gor bakal di,66
31,Enak bgt dan nyaman suasananya,5,30,enak bgt nyaman suasana,23
32,"Tempat nyaman, bersih, fasilitas oke bngt dehh",5,46,tempat nyaman bersih fasilitas oke bngt dehh,44
33,pelayananya ramah,5,17,pelayananya ramah,17
34,"Lokasi berada didalam pom bensin PB. Parkir banyak, mudah, dan gratis. Lokasi strategis. Akses mudah. Pelayanan ramah. Kopinya enak, penataan rapi. Didalam ruangan sejuk karena ada pendingin ruangan, dan bersih juga. Parking: Lokasi parkir berada didepan kedai kopi Kid-friendliness: Tidak cocok untuk anak-anak",5,311,lokasi pom bensin pb parkir banyak mudah gratis lokasi strategis akses mudah layan ramah kopi enak tata rapi dalam ruang sejuk dingin ruang bersih parking lokasi parkir ada depan kedai kopi kid-friendliness cocok anak,217
35,tempatnya sempit .,3,18,tempat sempit,13
36,Karyawanya cantik cantik,5,24,karyawanya cantik cantik,24
37,Cuma antri tempat parkirnya...,5,30,cuma antri tempat parkir,24
38,"Enak, mantap banget",5,19,enak mantap banget,18
39,Cari angin tipis2,4,17,cari angin tipis2,17
40,"Pelayanan lemot, kurang ramah, pesan satu menu saja hampir 1 jam.....",1,69,layan lot kurang ramah pesan satu menu hampir 1 jam,51
41,"Makananya sangat recommended semua, pelayanan semua crew jg ramah2",5,66,makananya sangat recommended semua layan semua crew jg ramah2,61
42,"It s the most delicious, good good",5,34,it s the most delicious good good,33
43,Tempat yg nyaman. Makan minum oke. Kntang gorengnya kurang....Lain kali sy tdk akan pesan,4,89,tempat nyaman makan minum oke kntang goreng kurang kali sy tdk pesan,68
44,Birthday treats nya mantap. Steak nya enak.,5,43,birthday treats mantap steak enak,33
45,"Kasir ramah banget banget banget. Seingetku nama kasirnya kak Vember (I guess so? yg tertulis di layar spt itu). Aku beli Chatime pake kupon disc dr salah satu apps, biasanya kasir lgsg jutek klo customer beli pake promo, ini ngga dong, ramah banget. Pdhl posisi udh pesen minuman dan aku lupa cara pake kuponnya, eh kakaknya nyuruh buat inget2 dulu cara pake kuponnya, pdhl itu aku udh bilang buat ga usah pake kupon aja. Luv banget pokoknya. Terima kasih banyak kak Vember",5,474,kasir ramah banget banget banget seingetku nama kasir kak vember i guess so tulis layar spt aku beli chatime pake kupon disc dr salah satu apps biasa kasir lgsg jutek klo customer beli pake promo ngga dong ramah banget pdhl posisi udh sen minum aku lupa cara pake kupon eh kakak nyuruh buat inget2 dulu cara pake kupon pdhl aku udh bilang buat usah pake kupon aja luv banget pokok terima kasih banyak kak vember,411
46,"Gurih Kering, Enak bangett !!! Hanya buka sampai 3.15 aja. Parking Fee",5,70,gurih kering enak bangett buka 3 15 aja parking fee,51
47,Tempatnya nyaman dan bagus sekali,5,33,tempat nyaman bagus sekali,26
48,"Beli super fruit tea, gula normal. Gula di cheskee ini sepertinya pemanis buatan. ketika minum es teh nya, selalu after taste di mulut dan lidah itu pahit-manis. mirip sekali dengan minuman pemanis buatan. ketika beli di toko lain seperti k** itu tidak ada after taste seperti ini.",1,281,beli super fruit tea gula normal gula cheskee man buat minum es teh selalu after taste mulut lidah pahit-manis mirip sekali minum man buat beli toko seperti k tidak after taste seperti ini,188
49,"Untuk mas Ahmad Fajar Muzzaki kalo ada masalah mnding plg aja deh, drpd jutek banget sama customer.",1,99,mas ahmad fajar muzzaki kalo masalah mnding plg aja deh drpd jutek banget sama customer,87
50,"Cozy Placed, tempat yang oke banget buat nongkrong,ketemu teman atau kerja dengan laptop. Kopi dan makan standard Excelso, selalu jadi tempat favorite di Excelso all cabang",4,172,cozy placed tempat oke banget buat nongkrong ketemu teman kerja laptop kopi makan standard excelso selalu jadi tempat favorite excelso all cabang,145
51,"Pelayanan ramah, hanya agak lama kalau ramai",4,44,layan ramah agak lama kalau ramai,33
52,"Murah enak, pelayanan bagus ramah, recommended",5,46,murah enak layan bagus ramah recommended,40
53,"Tempatnya bersih, nyaman, menunya rekomend. Harganya juga terjangkau",5,68,tempat bersih nyaman menu rekomend harga jangkau,48
54,"Ok sich tempatnya , enak banget buat meeting atu nongkrong",5,58,sich tempat enak banget buat meeting atu nongkrong,50
55,"Cocok untuk kerjain tugas, kurang cocok untuk yg dompet pas2an kayak saya",5,73,cocok kerjain tugas kurang cocok dompet pas2an kayak,52
56,"Beli pakai gofood paket rawon dan rawon kuah tp yang dateng kuah rawon doank n irisan daging kecil cuma 1, udah bayar 54 rbu lg stelah dpet promo. Yg bener ajalah..",1,164,beli pakai gofood paket rawon rawon kuah tp dateng kuah rawon doank n iris daging kecil cuma 1 udah bayar 54 rbu lg stelah dpet promo bener aja,143
57,"tempatnya nyaman banget walau tidak terlalu besar, ada ac dan toilet di dalamnya. coba2 cream cheese toast nya enak dan tidak manis banget walaupun sudah dingin, tp rasa cream cheese ga terlalu kerasa. pelayanannya juga mantap",5,226,tempat nyaman banget tidak terlalu besar ac toilet dalam coba2 cream cheese toast enak tidak manis banget walaupun dingin tp rasa cream cheese terlalu rasa layan mantap,168
58,Tempatnya sih cozy. Pelayanan juga oke banget. Sayang mau masuk ke dalam susahh jalannya kecil banget belom lagi kalo bareng sama yg lagi payment atau pegawainya yg berdiri depan kasir,4,184,tempat sih cozy layan oke banget sayang mau masuk dalam susahh jalan kecil banget bom kalo bareng sama payment pegawai diri depan kasir,135
59,"Teman ngedrakor yang cocok banget, kalian wajib coba sih ini, enak banget",5,73,teman ngedrakor cocok banget kalian wajib coba sih enak banget,62
60,"Tempat ini menu utamanya awalnya mie pangsit/mie ayam,tetapi sudah ada pengembangan menu nasi dan penyetan,dari harga sesuai dengan apa yg di dapat,recomended",5,158,tempat menu utama awal mie pangsit mie ayam sudah kembang menu nasi penyet harga sesuai apa dapat recomended,108
61,nunggunya lama bangetttttttttt pelayananannya jelekkkkk udh nunggu lebih dari 30 mnt malah mienya Dateng udh dingin,1,115,nunggunya lama bangetttttttttt pelayananannya jelekkkkk udh nunggu lebih 30 mnt malah mienya dateng udh dingin,110
62,akwowk saya top global pesen mie gacoan via online,5,50,akwowk top global sen mie gaco via online,41
63,Enak mienya lembut kenyal Ayamnya dan kaldunya berasa banget Pangsit dan baksonya juga enak Kuahnya ringan kalau katakua kuah rasa  cina  suka banget kuah yg modelan begini ringan seger tapi tasty lezatos,5,204,enak mienya lembut kenyal ayam kaldu asa banget pangsit bakso enak kuah ringan kalau katakua kuah rasa cina suka banget kuah model begini ringan seger tasty lezatos,164
64,"Parkir luas. Ada oleh oleh, restoran juga",5,41,parkir luas oleh restoran,25
65,"ukurannya bikin kenyang, dan lagi gerainya mdh ditemukan",4,56,ukur bikin kenyang lagi gerai mdh temu,38
66,Selalu menjadi tempat yang nyaman dan pas untuk ngopi santai dan bicara dengan rekan bisnis.,5,92,selalu jadi tempat nyaman pas ngopi santai bicara rekan bisnis,62
67,Banyak promo di chatime suka sekali,5,35,banyak promo chatime suka sekali,32
68,enak minuman yg ada Bobba nya n sama roti keju manis,5,52,enak minum bobba n sama roti keju manis,39
69,"Steak enak, suasana juga nyaman, pegawai ramah, cuma music yg diputarkan kadang terlalu besar volumenya",4,103,steak enak suasana nyaman pegawai ramah cuma music putar kadang terlalu besar volume,84
70,Too much,4,8,too much,8
71,Mas Baristanya ramah pollll,5,27,mas baristanya ramah pollll,27
72,"Mgk krn uda biasa ama pembeli antri plus keburu2 smua ya jd Mas2 petugasnya sigap banget, cepet, tp suwabaaarr.. ngeladenin rikues, pertanyaan, sampai kartu ngadat tetep telaten. Kopi enak sprti biasa, cepet pula. Keren Mas2nya",5,227,mgk krn uda biasa ama beli antri plus keburu2 smua jd mas2 tugas sigap banget cepet tp suwabaaarr ngeladenin rikues tanya kartu ngadat tetep telaten kopi enak sprti biasa cepet keren mas2nya,190
73,Makanan enak. Suasana enak..,1,28,makan enak suasana enak,23
74,"Penyajian cepat, pelayanan cukup ramah, tempat bersih",3,53,saji cepat layan cukup ramah tempat bersih,42
75,"mantap jiwa baru pertamakali ngopi disini tapi lansung enak pw, dan pesenannya gak ribet,, sayangnya kursinya sedikit jadi klo weekend sulit dapet tempat yg enak.. terimakasih untuk firstimpresionnya",5,199,mantap jiwa baru pertamakali ngopi sini lansung enak pw sen gak ribet sayang kursi sedikit jadi klo weekend sulit dapet tempat enak terimakasih firstimpresionnya,161
76,Potongan terbaik,5,16,potong baik,11
77,GA ADIL UDA DAPAT TEMPAT MASING  TIBA  ADA YANG NEMPATINN ORANG LAIN,2,68,adil uda tempat masing tiba nempatinn orang,43
78,"Rasa nya enak, pelayanannya baik",5,32,rasa enak layan baik,20
79,Karyawannya lemot lelet parah lama banget gak ramah sangat buruk untuk pegawai nya,1,82,karyawannya lot lelet parah lama banget gak ramah sangat buruk pegawai,70
80,"Kesini sabtu pagi, lumayan opsi cake nya masih lengkap",5,54,kesini sabtu pagi lumayan opsi cake lengkap,43
81,"Lumayan lah, pas di Super Indo bisa sekalian jajan disinj",4,57,lumayan lah pas super indo sekali jajan disinj,46
82,"2x agak malem dikit waktu weekend selalu udah close order. Pdhl sebelah masih rame, ga doyan customer",1,101,2x malem dikit waktu weekend selalu udah close order pdhl belah rame doyan customer,83
83,Surabaya punya,5,14,surabaya punya,14
84,"Ga pernah bosen sama 2 menu dari CHESKEE : fruit tea dan souffle cheese nya, karena memang seenak itu! Kalo lagi ke GM (mall terdekat), pasti mampir sini, atau kalo ga bisa order via online.. Harga juga relatif terjangkau ya, untuk setiap varian menu nya.. Kamu suka menu apa kalo lg di CHESKEE?",5,295,pernah bosen sama 2 menu cheskee fruit tea souffle cheese memang enak kalo ke gm mall dekat mampir sini kalo order via online harga relatif jangkau untuk tiap varian menu kamu suka menu apa kalo lg cheskee,205
85,pelayanannya ramah.,5,19,layan ramah,11
86,"Tempatnya bagus, cocok buat kumpul bareng temen dan keluarga dengan vibes yg cozy, harga masih affordable dan yg lebih penting kasirnya ramah ramah",5,147,tempat bagus cocok buat kumpul bareng temen keluarga vibes cozy harga affordable lebih penting kasir ramah ramah,112
87,"pelayanan ramah, bnyk promo mantap",5,34,layan ramah bnyk promo mantap,29
88,"Suasana nyaman dan bersih, service nya baik dan sabar.. Minumannya paling suka chocolate moose.. Maaf kl salah penulisan",4,120,suasana nyaman bersih service baik sabar minum paling suka chocolate moose maaf kl salah tulis,94
89,Meskipun tempatnya semit pelayanannya baik cepat dan ramah,5,58,meski tempat semit layan baik cepat ramah,41
90,Nyaman poll smpe lp pulang,5,26,nyaman poll smpe lp pulang,26
91,Yg mau nongki sejenak santai dan express bisa banget ke excelso Diponegoro Tempatnya gak terlalu luas ya karena memang ini khusus excelso express. Ada yg spesial loh di tempat ini karena bisa sambil liat2 motor2 moge Harley Davidson yg nangkring Selamat mencobaaaa,5,264,mau nongki jenak santai express banget excelso diponegoro tempat gak terlalu luas karena memang khusus excelso express spesial loh tempat karena sambil liat2 motor2 moge harley davidson nangkring selamat mencobaaaa,214
92,Santaiii,5,8,santaiii,8
93,Pesanan makanan 4 menu sampe nunggu 20 menit,1,44,pesan makan 4 menu sampe nunggu 20 menit,40
94,"Tempatnya bagus dan instagramable, aku makan nasi campur ayam panggang dan cumi hitam, tempe/tahu bacem. Ayamnya empuk manis, cumi hitam hanya asin yang dominan tekstur cumi juga agak liat, tahu/tempe bacem kecut...terkesan kayak sudah basi, kata temen sih kebanyakan asem, sambelnya juga agak asem banyak tomatnya. Porsi nasi lumayan banyak sih. Masih enak an yang di A. Yani Surabaya sih, ayo jangan mau kalah sama Surabaya. Tapi tempatnya wouw sih",3,450,tempat bagus instagramable aku makan nasi campur ayam panggang cumi hitam tempe tahu bacem ayam empuk manis cumi hitam asin dominan tekstur cumi agak liat tahu tempe bacem kecut kes kayak basi kata temen sih banyak asem sambelnya agak asem banyak tomat porsi nasi lumayan banyak sih enak an di a yani surabaya sih ayo jangan mau kalah sama surabaya tempat wouw sih,364
95,"Kurang puas pegawai kebanyakan, Ngobrol ketika melayani pembeli, menunggu waktu 30 menit lebih , kurang memuaskan di pelayanan kasir .",1,134,kurang puas pegawai banyak ngobrol layan beli tunggu waktu 30 menit lebih kurang muas layan kasir,97
96,"Minuman enak, pelayanan ramahh , suasana nyaman dan banyak promo jg tentunya. Terima kasih chatime",5,98,minum enak layan ramahh suasana nyaman banyak promo jg terima kasih chatime,75
97,"Rasa kopinya enak, pelayanan lumayan cepat.. Tp terkadang mejanya kotor",5,71,rasa kopi enak layan lumayan cepat tp terkadang meja kotor,58
98,"Good ambience , tempat yg sangat nyaman dan aesthetic bikin betah sehariannn . Fav place!!!",5,91,good ambience tempat sangat nyaman aesthetic bikin betah sehariannn fav place,77
99,Parking: Kurang memadai krn mengganggu rumah sekitarnya Food,3,60,parking kurang krn ganggu rumah food,36
100,"Lama bgt nunggu orderan online, tolong d perbaiki lagi kinerja orderan online ny",1,80,lama bgt nunggu order online d baik kerja order online ny,57
101,makanan dan minuman yg saya pesan sesuai dengan harganya. enak dan banyak varian. pelayanan nya juga bagus. dan untuk dine-in juga nyaman terlebih lagi disana ada sofa dan mungkin sofa nya bisa dibersihkan lagi,5,210,makan minum pesan sesuai harga enak banyak varian layan bagus untuk dine-in nyaman lebih sana sofa mungkin sofa bersih,118
102,Baru jam 18.00 untuk buka puasa. Nasi habis. Sedikit kecewa....,4,63,baru jam 18 00 buka puasa nasi habis sedikit kecewa,51
103,"Tempatnya sangat luas, parkir motor di belakang y",5,49,tempat sangat luas parkir motor belakang y,42
104,"Rasa biasa aja, kurang cocok. Harganya lumayan mahal. Ruangan tidak dingin, kyk nya ac gk nyala atau rusak. Pelayanannya kurang ramah",3,133,rasa biasa aja kurang cocok harga lumayan mahal ruang dingin kyk ac gk nyala rusak layan kurang ramah,101
105,Tempatnya keren.. staff nya juga ramah.. seperti biasa gw pesen kopi kenangan mantan less ice dan less sugar,5,108,tempat keren staff ramah biasa gw sen kopi kenang mantan less ice less sugar,76
106,Mie nya emang top terutama baksonya sangat lembut,5,49,mie emang top utama bakso sangat lembut,39
107,"warung legend, cuma disini owner hingga pramusaji ramah pol!",5,60,warung legend cuma sini owner hingga pramusaji ramah pol,56
108,Enk sekali,5,10,enk sekali,10
109,"Layanan sangat Buruk , sangat tidak membantu sama sekali , hanya minta 1 sendok saja tidak boleh .  Dengan alasan pertama tidak ada , lalu kalau org pesan roti atau cake makannya pakai apa dan alsan berikutnya  kana charge , harga sendok ny emang terbuag dari Emas kali ya . Ga masuk akal . Baru kali ini pengalaman di kopi kenangan yang sangat BURUK .",1,352,layan sangat buruk sangat bantu sama sekali minta 1 sendok dengan alas pertama tidak ada lalu kalau org pesan roti cake makan pakai apa alsan ikut kana charge harga sendok ny emang terbuag emas kali masuk akal baru kali alam kopi kenang sangat buruk,249
110,"LOCATION: Lokasi nya didalam mall BG junction, cukup mudah menemukan store nya didepan HokBen. VIBES: Desain Interiornya standar seperti Starbucks pada umumnya. Tempatnya tidak terlalu besar namun tetap nyaman untuk me time atau untuk nongkrong dengan teman. Tempatnya juga bersih. AC-nya juga dingin. SERVICE, TASTE & PRICE: Baristanya sangat ramah dan cepat. Sistem pelayanannya self service. Menunya standar seperti Starbucks pada umumnya. Harga standar seperti Starbucks pada umumnya. pembayaran dapat menggunakan QRIS, Starbucks Card maupun cash. FACILITIES: WIFI tersedia dan cukup oke. Tidak ada kamar mandi gabung di dalam Mall. Cukup banyak tempat charging. MORE REVIEW: Overall, Untuk Starbucks di Surabaya ini tidak terlalu ramai dikunjungi customer. Bisa jadi salah satu alternatif jadi tempat nongkrong atau productive yang nyaman.",5,844,location lokasi mall bg junction cukup mudah temu store depan hokben vibes desain interior standar starbucks umum tempat terlalu besar tetap nyaman me time nongkrong teman tempat bersih ac-nya dingin service taste price baristanya sangat ramah cepat sistem layan self service menu standar starbucks umum harga standar starbucks umum bayar guna qris starbucks card maupun cash facilities wifi sedia cukup oke ada kamar mandi gabung dalam mall cukup banyak tempat charging more review overall untuk starbucks surabaya tidak terlalu ramai kunjung customer jadi salah satu alternatif jadi tempat nongkrong productive nyaman,619
111,"Lemot penyajiannya , ampun",1,26,lot saji ampun,14
112,"Staff tidak ramah, sudah minta untuk bersihin meja malah ga dibersihin",2,70,staff ramah minta bersihin meja malah dibersihin,48
113,"Resto lama yang legendaris, ayam bakar nya wenaaakkk bgt.. anak saya lahap makan disini, semua suka. Sambal enak plus kremesan, tumis kangkung nya sedap sekali. Gurame gorengnya juga enak. Tempat tergolong besar dan bersih, prima rasa jg banyak cabangnya. Memang harganya agak mahal tapi sangat worth it dengan rasa. Untuk parkiran ada tapi ga banyak. Kmrn jg nyoba kue lumpur dan pop corn, semua enak. Ga pernah nyesal makan di ayam bakar prima rasa, Maknyus.",5,460,resto lama legendaris ayam bakar wenaaakkk bgt anak lahap makan sini semua suka sambal enak plus kremesan tumis kangkung sedap sekali gurame goreng enak tempat golong besar bersih prima rasa jg banyak cabang memang harga mahal sangat worth it rasa parkir tapi banyak kmrn jg nyoba kue lumpur pop corn semua enak pernah nyesal makan ayam bakar prima rasa maknyus,361
114,"Kasirnya ramah, pelayanannya juga cepat, syukak dech",5,52,kasir ramah layan cepat syukak dech,35
115,Nyaman + pelayanan ramah cepet juga,5,35,nyaman layan ramah cepet,24
116,"Perlu sidak dr managementnya, tdk di tanya nama, tdk ada minta maaf saat sy tanya kenapa, akhirnya ada yg terlewat dan tidak di panggil ulang, pembelian tgl 7 november 2020, jam 15.45, saran utk perbaikan, tks",2,209,perlu sidak dr managementnya tdk tanya nama tdk minta maaf sy tanya akhir lewat tidak panggil ulang beli tgl 7 november 2020 jam 15 45 saran utk baik tks,153
117,"Pesan gurame pesmol, ayam bakar, cah kangkung, es jeruk 2. Gurami pesmol : rasanya bener2 enak, pecah di mulut, ketika digigit terasa banget bumbu sama ikan yg fress pecah di mulut. Ayam bakar : untuk rasa standart kayak ayam bakar pada umumnya. Cah kangkung : rasanya enak banget guruh, asin balence, teksturnya ketika digigit masih kriuk2 jadi mantep untuk cah kangkung rekom. Nasi putih juga pulen enak Untuk es jeruk standar aja Rekomend untuk makan sama pasangan dan keluarga.",5,481,pesan gurame pesmol ayam bakar cah kangkung es jeruk 2 gurami pesmol rasa bener2 enak pecah mulut gigit asa banget bumbu sama ikan fress pecah mulut ayam bakar rasa standart kayak ayam bakar umum cah kangkung rasa enak banget guruh asin balence tekstur gigit kriuk2 jadi mantep cah kangkung rekom nasi putih pulen enak es jeruk standar aja rekomend makan sama pasang keluarga,375
118,"Kok mbak waitress nya tak ramah customer ya, naruh gelas di meja saya kasar sekali",3,82,kok mbak waitress tak ramah customer naruh gelas meja kasar sekali,66
119,Lokasi sudut Jl. Sulawesi Akses parkir cukup mudah . Space cukup utk bbrp kelompok yg mau kongkow...bisa buat family spot atau rekans.... . Harga standar Taste standar . Smoking n Non-Smoking area. Tinggal milih saja...,5,219,lokasi sudut jl sulawesi akses parkir cukup mudah space cukup utk bbrp kelompok mau kongkow buat family spot rekans harga standar taste standar smoking n non-smoking area tinggal milih,184
120,"Dulu sering kesini Krn cari rujak yg bersih kalo pas ada tamu ini jadi rujukan. Sekarang SIE menurutku rada kurang OK tempatnya bau ruangannya, kebersihannya. Tapi kalo rasa rujaknya masih OK kalo ga salah kmrn makan disini harga rujak sekitar 40K dan minumnya es blewah",4,270,dulu sering kesini krn cari rujak bersih kalo pas tamu jadi rujuk sekarang sie turut rada kurang tempat bau ruang bersih kalo rasa rujak ok kalo salah kmrn makan sini harga rujak 40k minum es blewah,198
121,"Jujur saya sebagai penikmat kopi kenangan bahkan jadi salah satu kopi fav saya sangat kecewa pas pesen kopi disini, mungkin perlu di training lagi atau gimana, cuman tadi saya pesen less sugar malah rasa kopinya nggk ada cuma rasa susu doang, kopinya cuma 10%, bukan kali pertama saya merasakan kenangan mantan ini, tapi tadi saya sampai berpikir keras apa saya yg salah pesan, tapi ternyata emang kurang dari segi rasa, cukup kecewa semoga di perbaiki lagi",1,457,jujur bagai nikmat kopi kenang bahkan jadi salah satu kopi fav sangat kecewa pas sen kopi sini mungkin perlu training atau gimana cuman tadi sen less sugar malah rasa kopi nggk cuma rasa susu doang kopi cuma 10 bukan kali pertama rasa kenang mantan tadi sampai pikir keras apa salah pesan tapi nyata emang kurang segi rasa cukup kecewa moga baik,345
122,"Masak dapat orderan dari tadi sampai tiba di resto blm dibautkan sama sekali, dan malah tanya orderannya apa",1,108,masak order tadi tiba resto blm baut sama sekali malah tanya order apa,70
123,"Restoran yang meskipun harganya termasuk mahal namun selalu ramai. Karena memang makanannya sangat enak. Di cabang yang ini ada lantai atasnya juga, digunakan kalau lantai yang bawah sudah penuh. Pelayanannya sangat ramah, dan selalu senyum.",5,241,restoran meski harga masuk mahal selalu ramai memang makan sangat enak cabang ini lantai atas guna kalau lantai bawah penuh layan sangat ramah selalu senyum,156
124,"Tidak ramah, mbaknya mecucu aja muka kecut",1,42,ramah mbak mecucu aja muka kecut,32
125,Mantap ini sambelannya,5,22,mantap sambelannya,18
126,Tempat strategis di TP 1,5,24,tempat strategis tp 1,21
127,"tempatnya lebih oke dari excelso yg lain, saladnya juga semua bahan2nya bener2 fresh banget beefnya bumbunya pas, jadi kerasa seger dan enak pas makan sayang pelayanannya mungkin karna yg ngelayanin masih pake baju item training atau masih baru jadi yaudahlah maklumin, harusnya kalo kurang ngeh sama pesanan yg dipesan bisa balik lagi konfirmasi atau harusnya ngulang pesanan sebelum balik",4,390,tempat lebih oke excelso saladnya semua bahan2nya bener2 fresh banget beefnya bumbu pas jadi rasa seger enak pas makan sayang layan mungkin karna ngelayanin pake baju item training masih baru jadi yaudahlah maklumin kalo kurang ngeh sama pesan pes balik konfirmasi harus ngulang pesan balik,290
128,"Kesini karna dapet promo BOGO Suasananya nyaman, dingin, meski agak jauh tapi enak karna nggak begitu rame. Paling fav caramel machiato",5,135,kesini karna dapet promo bogo suasana nyaman dingin meski jauh enak karna begitu rame paling fav caramel machiato,113
129,Overall cocok untuk yang cari murah tapi enak. Tempatnya not bad sih. 4 bintang dari 5.,4,87,overall cocok cari murah enak tempat not bad sih 4 bintang 5,60
130,"Pelayanan TIDAK RAMAH HARGA MAHAL Tidak ada NOTA Pesanan TIDAK SESUAI Beli 3 kali Masih pagi, sekitar Jam 8, Jam 9 Mosok balungan e wes entek rek ? Tak kiro enak.. Cedek omah.. gak adoh2 nek MERR Tibak e CAK HAR Cabang WIYUNG Mengecewakan..",1,240,layan ramah harga mahal ada nota pesan sesuai beli 3 kali pagi jam 8 jam 9 mosok balung e wes entek rek tak kiro enak cedek omah gak adoh2 nek merr tibak e cak har cabang wiyung kecewa,184
