ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
46,"Gurih Kering, Enak bangett !!! Hanya buka sampai 3.15 aja. Parking Fee",5,70,gurih kering enak bangett buka aja parking fee,46
47,Tempatnya nyaman dan bagus sekali,5,33,nyaman bagus sekali,19
48,"Beli super fruit tea, gula normal. Gula di cheskee ini sepertinya pemanis buatan. ketika minum es teh nya, selalu after taste di mulut dan lidah itu pahit-manis. mirip sekali dengan minuman pemanis buatan. ketika beli di toko lain seperti k** itu tidak ada after taste seperti ini.",1,281,beli super fruit tea gula normal gula cheskee man buat es teh selalu taste mulut lidah pahitmanis mirip sekali man buat beli toko lain tidak taste,146
49,"Untuk mas Ahmad Fajar Muzzaki kalo ada masalah mnding plg aja deh, drpd jutek banget sama customer.",1,99,mas ahmad fajar muzzaki kalo masalah mnding plg aja deh drpd jutek banget sama customer,87
50,"Cozy Placed, tempat yang oke banget buat nongkrong,ketemu teman atau kerja dengan laptop. Kopi dan makan standard Excelso, selalu jadi tempat favorite di Excelso all cabang",4,172,cozy placed oke banget buat nongkrong ketemu teman kerja laptop kopi standard excelso selalu jadi favorite excelso all cabang,125
51,"Pelayanan ramah, hanya agak lama kalau ramai",4,44,ramah agak lama kalau ramai,27
52,"Murah enak, pelayanan bagus ramah, recommended",5,46,murah enak bagus ramah recommended,34
53,"Tempatnya bersih, nyaman, menunya rekomend. Harganya juga terjangkau",5,68,bersih nyaman menu rekomend harga jangkau,41
54,"Ok sich tempatnya , enak banget buat meeting atu nongkrong",5,58,sich enak banget buat meeting atu nongkrong,43
55,"Cocok untuk kerjain tugas, kurang cocok untuk yg dompet pas2an kayak saya",5,73,cocok kerjain tugas kurang cocok dompet pas kayak,49
56,"Beli pakai gofood paket rawon dan rawon kuah tp yang dateng kuah rawon doank n irisan daging kecil cuma 1, udah bayar 54 rbu lg stelah dpet promo. Yg bener ajalah..",1,164,beli pakai gofood paket rawon rawon kuah tp dateng kuah rawon doank iris daging kecil cuma udah bayar rbu lg stelah dpet promo bener aja,136
57,"tempatnya nyaman banget walau tidak terlalu besar, ada ac dan toilet di dalamnya. coba2 cream cheese toast nya enak dan tidak manis banget walaupun sudah dingin, tp rasa cream cheese ga terlalu kerasa. pelayanannya juga mantap",5,226,nyaman banget walau tidak terlalu besar ac toilet coba cream cheese toast enak tidak manis banget walaupun dingin tp rasa cream cheese ga terlalu rasa mantap,157
58,Tempatnya sih cozy. Pelayanan juga oke banget. Sayang mau masuk ke dalam susahh jalannya kecil banget belom lagi kalo bareng sama yg lagi payment atau pegawainya yg berdiri depan kasir,4,184,sih cozy oke banget sayang mau masuk susahh jalan kecil banget bom kalo bareng sama payment pegawai diri depan kasir,116
59,"Teman ngedrakor yang cocok banget, kalian wajib coba sih ini, enak banget",5,73,teman ngedrakor cocok banget kalian wajib coba sih enak banget,62
60,"Tempat ini menu utamanya awalnya mie pangsit/mie ayam,tetapi sudah ada pengembangan menu nasi dan penyetan,dari harga sesuai dengan apa yg di dapat,recomended",5,158,menu utama awal mie pangsit mie ayam tetapi kembang menu nasi penyet harga sesuai apa recomended,96
61,nunggunya lama bangetttttttttt pelayananannya jelekkkkk udh nunggu lebih dari 30 mnt malah mienya Dateng udh dingin,1,115,nunggunya lama bangetttttttttt pelayananannya jelekkkkk udh nunggu lebih mnt malah mienya dateng udh dingin,107
62,akwowk saya top global pesen mie gacoan via online,5,50,akwowk top global sen mie gaco via online,41
63,Enak mienya lembut kenyal Ayamnya dan kaldunya berasa banget Pangsit dan baksonya juga enak Kuahnya ringan kalau katakua kuah rasa  cina  suka banget kuah yg modelan begini ringan seger tapi tasty lezatos,5,204,enak mienya lembut kenyal ayam kaldu asa banget pangsit bakso enak kuah ringan kalau katakua kuah rasa cina suka banget kuah model begini ringan seger tapi tasty lezatos,169
64,"Parkir luas. Ada oleh oleh, restoran juga",5,41,parkir luas restoran,20
65,"ukurannya bikin kenyang, dan lagi gerainya mdh ditemukan",4,56,ukur bikin kenyang gerai mdh temu,33
66,Selalu menjadi tempat yang nyaman dan pas untuk ngopi santai dan bicara dengan rekan bisnis.,5,92,selalu jadi nyaman pas ngopi santai bicara rekan bisnis,55
67,Banyak promo di chatime suka sekali,5,35,banyak promo chatime suka sekali,32
68,enak minuman yg ada Bobba nya n sama roti keju manis,5,52,enak bobba sama roti keju manis,31
69,"Steak enak, suasana juga nyaman, pegawai ramah, cuma music yg diputarkan kadang terlalu besar volumenya",4,103,steak enak suasana nyaman pegawai ramah cuma music putar kadang terlalu besar volume,84
70,Too much,4,8,too much,8
71,Mas Baristanya ramah pollll,5,27,mas baristanya ramah pollll,27
72,"Mgk krn uda biasa ama pembeli antri plus keburu2 smua ya jd Mas2 petugasnya sigap banget, cepet, tp suwabaaarr.. ngeladenin rikues, pertanyaan, sampai kartu ngadat tetep telaten. Kopi enak sprti biasa, cepet pula. Keren Mas2nya",5,227,mgk krn uda biasa ama beli antri plus keburu smua jd mas tugas sigap banget cepet tp suwabaaarr ngeladenin rikues tanya kartu ngadat tetep telaten kopi enak sprti biasa cepet keren mas,184
73,Makanan enak. Suasana enak..,1,28,enak suasana enak,17
74,"Penyajian cepat, pelayanan cukup ramah, tempat bersih",3,53,saji cepat cukup ramah bersih,29
75,"mantap jiwa baru pertamakali ngopi disini tapi lansung enak pw, dan pesenannya gak ribet,, sayangnya kursinya sedikit jadi klo weekend sulit dapet tempat yg enak.. terimakasih untuk firstimpresionnya",5,199,mantap jiwa baru pertamakali ngopi sini tapi lansung enak pw sen gak ribet sayang kursi sedikit jadi klo weekend sulit dapet enak terimakasih firstimpresionnya,159
76,Potongan terbaik,5,16,potong baik,11
77,GA ADIL UDA DAPAT TEMPAT MASING  TIBA  ADA YANG NEMPATINN ORANG LAIN,2,68,ga adil uda masing tiba nempatinn orang lain,44
78,"Rasa nya enak, pelayanannya baik",5,32,rasa enak baik,14
79,Karyawannya lemot lelet parah lama banget gak ramah sangat buruk untuk pegawai nya,1,82,karyawannya lot lelet parah lama banget gak ramah sangat buruk pegawai,70
80,"Kesini sabtu pagi, lumayan opsi cake nya masih lengkap",5,54,kesini sabtu pagi lumayan opsi cake masih lengkap,49
81,"Lumayan lah, pas di Super Indo bisa sekalian jajan disinj",4,57,lumayan lah pas super indo sekali jajan disinj,46
82,"2x agak malem dikit waktu weekend selalu udah close order. Pdhl sebelah masih rame, ga doyan customer",1,101,agak malem dikit waktu weekend selalu udah close order pdhl belah masih rame ga doyan customer,94
83,Surabaya punya,5,14,surabaya punya,14
84,"Ga pernah bosen sama 2 menu dari CHESKEE : fruit tea dan souffle cheese nya, karena memang seenak itu! Kalo lagi ke GM (mall terdekat), pasti mampir sini, atau kalo ga bisa order via online.. Harga juga relatif terjangkau ya, untuk setiap varian menu nya.. Kamu suka menu apa kalo lg di CHESKEE?",5,295,ga pernah bosen sama menu cheskee fruit tea souffle cheese karena memang enak kalo gm mall dekat mampir sini kalo ga order via online harga relatif jangkau tiap varian menu kamu suka menu apa kalo lg cheskee,207
85,pelayanannya ramah.,5,19,ramah,5
86,"Tempatnya bagus, cocok buat kumpul bareng temen dan keluarga dengan vibes yg cozy, harga masih affordable dan yg lebih penting kasirnya ramah ramah",5,147,bagus cocok buat kumpul bareng temen keluarga vibes cozy harga masih affordable lebih penting kasir ramah ramah,111
87,"pelayanan ramah, bnyk promo mantap",5,34,ramah bnyk promo mantap,23
88,"Suasana nyaman dan bersih, service nya baik dan sabar.. Minumannya paling suka chocolate moose.. Maaf kl salah penulisan",4,120,suasana nyaman bersih service baik sabar paling suka chocolate moose maaf kl salah tulis,88
89,Meskipun tempatnya semit pelayanannya baik cepat dan ramah,5,58,meski semit baik cepat ramah,28
90,Nyaman poll smpe lp pulang,5,26,nyaman poll smpe lp pulang,26
91,Yg mau nongki sejenak santai dan express bisa banget ke excelso Diponegoro Tempatnya gak terlalu luas ya karena memang ini khusus excelso express. Ada yg spesial loh di tempat ini karena bisa sambil liat2 motor2 moge Harley Davidson yg nangkring Selamat mencobaaaa,5,264,mau nongki jenak santai express banget excelso diponegoro gak terlalu luas karena memang khusus excelso express spesial loh karena liat motor moge harley davidson nangkring selamat mencobaaaa,191
92,Santaiii,5,8,santaiii,8
93,Pesanan makanan 4 menu sampe nunggu 20 menit,1,44,pesan menu sampe nunggu menit,29
94,"Tempatnya bagus dan instagramable, aku makan nasi campur ayam panggang dan cumi hitam, tempe/tahu bacem. Ayamnya empuk manis, cumi hitam hanya asin yang dominan tekstur cumi juga agak liat, tahu/tempe bacem kecut...terkesan kayak sudah basi, kata temen sih kebanyakan asem, sambelnya juga agak asem banyak tomatnya. Porsi nasi lumayan banyak sih. Masih enak an yang di A. Yani Surabaya sih, ayo jangan mau kalah sama Surabaya. Tapi tempatnya wouw sih",3,450,bagus instagramable aku nasi campur ayam panggang cumi hitam tempe tahu bacem ayam empuk manis cumi hitam asin dominan tekstur cumi agak liat tahu tempe bacem kecut kes kayak basi kata temen sih banyak asem sambelnya agak asem banyak tomat porsi nasi lumayan banyak sih masih enak yani surabaya sih ayo jangan mau kalah sama surabaya tapi wouw sih,347
95,"Kurang puas pegawai kebanyakan, Ngobrol ketika melayani pembeli, menunggu waktu 30 menit lebih , kurang memuaskan di pelayanan kasir .",1,134,kurang puas pegawai banyak ngobrol beli tunggu waktu menit lebih kurang muas kasir,82
96,"Minuman enak, pelayanan ramahh , suasana nyaman dan banyak promo jg tentunya. Terima kasih chatime",5,98,enak ramahh suasana nyaman banyak promo jg tentu terima kasih chatime,69
97,"Rasa kopinya enak, pelayanan lumayan cepat.. Tp terkadang mejanya kotor",5,71,rasa kopi enak lumayan cepat tp terkadang meja kotor,52
98,"Good ambience , tempat yg sangat nyaman dan aesthetic bikin betah sehariannn . Fav place!!!",5,91,good ambience sangat nyaman aesthetic bikin betah sehariannn fav place,70
99,Parking: Kurang memadai krn mengganggu rumah sekitarnya Food,3,60,parking kurang krn ganggu rumah food,36
100,"Lama bgt nunggu orderan online, tolong d perbaiki lagi kinerja orderan online ny",1,80,lama bgt nunggu order online tolong baik kerja order online ny,62
101,makanan dan minuman yg saya pesan sesuai dengan harganya. enak dan banyak varian. pelayanan nya juga bagus. dan untuk dine-in juga nyaman terlebih lagi disana ada sofa dan mungkin sofa nya bisa dibersihkan lagi,5,210,pesan sesuai harga enak banyak varian bagus dinein nyaman lebih sana sofa mungkin sofa bersih,93
102,Baru jam 18.00 untuk buka puasa. Nasi habis. Sedikit kecewa....,4,63,baru jam buka puasa nasi habis sedikit kecewa,45
103,"Tempatnya sangat luas, parkir motor di belakang y",5,49,sangat luas parkir motor belakang,33
104,"Rasa biasa aja, kurang cocok. Harganya lumayan mahal. Ruangan tidak dingin, kyk nya ac gk nyala atau rusak. Pelayanannya kurang ramah",3,133,rasa biasa aja kurang cocok harga lumayan mahal ruang tidak dingin kyk ac gk nyala rusak kurang ramah,101
105,Tempatnya keren.. staff nya juga ramah.. seperti biasa gw pesen kopi kenangan mantan less ice dan less sugar,5,108,keren staff ramah biasa gw sen kopi kenang mantan less ice less sugar,69
106,Mie nya emang top terutama baksonya sangat lembut,5,49,mie emang top utama bakso sangat lembut,39
107,"warung legend, cuma disini owner hingga pramusaji ramah pol!",5,60,warung legend cuma sini owner hingga pramusaji ramah pol,56
108,Enk sekali,5,10,enk sekali,10
109,"Layanan sangat Buruk , sangat tidak membantu sama sekali , hanya minta 1 sendok saja tidak boleh .  Dengan alasan pertama tidak ada , lalu kalau org pesan roti atau cake makannya pakai apa dan alsan berikutnya  kana charge , harga sendok ny emang terbuag dari Emas kali ya . Ga masuk akal . Baru kali ini pengalaman di kopi kenangan yang sangat BURUK .",1,352,sangat buruk sangat tidak bantu sama sekali minta sendok tidak alas pertama tidak lalu kalau org pesan roti cake pakai apa alsan ikut kana charge harga sendok ny emang terbuag emas kali ga masuk akal baru kali alam kopi kenang sangat buruk,239
110,"LOCATION: Lokasi nya didalam mall BG junction, cukup mudah menemukan store nya didepan HokBen. VIBES: Desain Interiornya standar seperti Starbucks pada umumnya. Tempatnya tidak terlalu besar namun tetap nyaman untuk me time atau untuk nongkrong dengan teman. Tempatnya juga bersih. AC-nya juga dingin. SERVICE, TASTE & PRICE: Baristanya sangat ramah dan cepat. Sistem pelayanannya self service. Menunya standar seperti Starbucks pada umumnya. Harga standar seperti Starbucks pada umumnya. pembayaran dapat menggunakan QRIS, Starbucks Card maupun cash. FACILITIES: WIFI tersedia dan cukup oke. Tidak ada kamar mandi gabung di dalam Mall. Cukup banyak tempat charging. MORE REVIEW: Overall, Untuk Starbucks di Surabaya ini tidak terlalu ramai dikunjungi customer. Bisa jadi salah satu alternatif jadi tempat nongkrong atau productive yang nyaman.",5,844,location lokasi mall bg junction cukup mudah temu store depan hokben vibes desain interior standar starbucks umum tidak terlalu besar namun tetap nyaman time nongkrong teman bersih acnya dingin service taste price baristanya sangat ramah cepat sistem self service menu standar starbucks umum harga standar starbucks umum bayar qris starbucks card maupun cash facilities wifi sedia cukup oke tidak kamar mandi gabung mall cukup banyak charging review overall starbucks surabaya tidak terlalu ramai kunjung customer jadi salah satu alternatif jadi nongkrong productive nyaman,573
111,"Lemot penyajiannya , ampun",1,26,lot saji ampun,14
112,"Staff tidak ramah, sudah minta untuk bersihin meja malah ga dibersihin",2,70,staff tidak ramah minta bersihin meja malah ga dibersihin,57
113,"Resto lama yang legendaris, ayam bakar nya wenaaakkk bgt.. anak saya lahap makan disini, semua suka. Sambal enak plus kremesan, tumis kangkung nya sedap sekali. Gurame gorengnya juga enak. Tempat tergolong besar dan bersih, prima rasa jg banyak cabangnya. Memang harganya agak mahal tapi sangat worth it dengan rasa. Untuk parkiran ada tapi ga banyak. Kmrn jg nyoba kue lumpur dan pop corn, semua enak. Ga pernah nyesal makan di ayam bakar prima rasa, Maknyus.",5,460,resto lama legendaris ayam bakar wenaaakkk bgt anak lahap sini semua suka sambal enak plus kremesan tumis kangkung sedap sekali gurame goreng enak golong besar bersih prima rasa jg banyak cabang memang harga agak mahal tapi sangat worth rasa parkir tapi ga banyak kmrn jg nyoba kue lumpur pop corn semua enak ga pernah nyesal ayam bakar prima rasa maknyus,355
114,"Kasirnya ramah, pelayanannya juga cepat, syukak dech",5,52,kasir ramah cepat syukak dech,29
115,Nyaman + pelayanan ramah cepet juga,5,35,nyaman ramah cepet,18
116,"Perlu sidak dr managementnya, tdk di tanya nama, tdk ada minta maaf saat sy tanya kenapa, akhirnya ada yg terlewat dan tidak di panggil ulang, pembelian tgl 7 november 2020, jam 15.45, saran utk perbaikan, tks",2,209,perlu sidak dr managementnya tdk tanya nama tdk minta maaf sy tanya kenapa akhir lewat tidak panggil ulang beli tgl november jam saran utk baik tks,147
117,"Pesan gurame pesmol, ayam bakar, cah kangkung, es jeruk 2. Gurami pesmol : rasanya bener2 enak, pecah di mulut, ketika digigit terasa banget bumbu sama ikan yg fress pecah di mulut. Ayam bakar : untuk rasa standart kayak ayam bakar pada umumnya. Cah kangkung : rasanya enak banget guruh, asin balence, teksturnya ketika digigit masih kriuk2 jadi mantep untuk cah kangkung rekom. Nasi putih juga pulen enak Untuk es jeruk standar aja Rekomend untuk makan sama pasangan dan keluarga.",5,481,pesan gurame pesmol ayam bakar cah kangkung es jeruk gurami pesmol rasa bener enak pecah mulut gigit asa banget bumbu sama ikan fress pecah mulut ayam bakar rasa standart kayak ayam bakar umum cah kangkung rasa enak banget guruh asin balence tekstur gigit masih kriuk jadi mantep cah kangkung rekom nasi putih pulen enak es jeruk standar aja rekomend sama pasang keluarga,371
118,"Kok mbak waitress nya tak ramah customer ya, naruh gelas di meja saya kasar sekali",3,82,kok mbak waitress tak ramah customer naruh gelas meja kasar sekali,66
119,Lokasi sudut Jl. Sulawesi Akses parkir cukup mudah . Space cukup utk bbrp kelompok yg mau kongkow...bisa buat family spot atau rekans.... . Harga standar Taste standar . Smoking n Non-Smoking area. Tinggal milih saja...,5,219,lokasi sudut jl sulawesi akses parkir cukup mudah space cukup utk bbrp kelompok mau kongkow buat family spot rekans harga standar taste standar smoking nonsmoking area tinggal milih,181
120,"Dulu sering kesini Krn cari rujak yg bersih kalo pas ada tamu ini jadi rujukan. Sekarang SIE menurutku rada kurang OK tempatnya bau ruangannya, kebersihannya. Tapi kalo rasa rujaknya masih OK kalo ga salah kmrn makan disini harga rujak sekitar 40K dan minumnya es blewah",4,270,dulu sering kesini krn cari rujak bersih kalo pas tamu jadi rujuk sekarang sie turut rada kurang bau ruang bersih tapi kalo rasa rujak masih kalo ga salah kmrn sini harga rujak es blewah,186
121,"Jujur saya sebagai penikmat kopi kenangan bahkan jadi salah satu kopi fav saya sangat kecewa pas pesen kopi disini, mungkin perlu di training lagi atau gimana, cuman tadi saya pesen less sugar malah rasa kopinya nggk ada cuma rasa susu doang, kopinya cuma 10%, bukan kali pertama saya merasakan kenangan mantan ini, tapi tadi saya sampai berpikir keras apa saya yg salah pesan, tapi ternyata emang kurang dari segi rasa, cukup kecewa semoga di perbaiki lagi",1,457,jujur bagai nikmat kopi kenang bahkan jadi salah satu kopi fav sangat kecewa pas sen kopi sini mungkin perlu training gimana cuman tadi sen less sugar malah rasa kopi nggk cuma rasa susu doang kopi cuma bukan kali pertama rasa kenang mantan tapi tadi pikir keras apa salah pesan tapi nyata emang kurang segi rasa cukup kecewa moga baik,335
122,"Masak dapat orderan dari tadi sampai tiba di resto blm dibautkan sama sekali, dan malah tanya orderannya apa",1,108,masak order tadi tiba resto blm baut sama sekali malah tanya order apa,70
123,"Restoran yang meskipun harganya termasuk mahal namun selalu ramai. Karena memang makanannya sangat enak. Di cabang yang ini ada lantai atasnya juga, digunakan kalau lantai yang bawah sudah penuh. Pelayanannya sangat ramah, dan selalu senyum.",5,241,restoran meski harga masuk mahal namun selalu ramai karena memang sangat enak cabang lantai atas kalau lantai bawah penuh sangat ramah selalu senyum,148
124,"Tidak ramah, mbaknya mecucu aja muka kecut",1,42,tidak ramah mbak mecucu aja muka kecut,38
125,Mantap ini sambelannya,5,22,mantap sambelannya,18
126,Tempat strategis di TP 1,5,24,strategis tp,12
127,"tempatnya lebih oke dari excelso yg lain, saladnya juga semua bahan2nya bener2 fresh banget beefnya bumbunya pas, jadi kerasa seger dan enak pas makan sayang pelayanannya mungkin karna yg ngelayanin masih pake baju item training atau masih baru jadi yaudahlah maklumin, harusnya kalo kurang ngeh sama pesanan yg dipesan bisa balik lagi konfirmasi atau harusnya ngulang pesanan sebelum balik",4,390,lebih oke excelso lain saladnya semua bahan bener fresh banget beefnya bumbu pas jadi rasa seger enak pas sayang mungkin karna ngelayanin masih pake baju item training masih baru jadi yaudahlah maklumin kalo kurang ngeh sama pesan pes balik konfirmasi ngulang pesan belum balik,277
128,"Kesini karna dapet promo BOGO Suasananya nyaman, dingin, meski agak jauh tapi enak karna nggak begitu rame. Paling fav caramel machiato",5,135,kesini karna dapet promo bogo suasana nyaman dingin meski agak jauh tapi enak karna nggak begitu rame paling fav caramel machiato,129
129,Overall cocok untuk yang cari murah tapi enak. Tempatnya not bad sih. 4 bintang dari 5.,4,87,overall cocok cari murah tapi enak not bad sih bintang,54
130,"Pelayanan TIDAK RAMAH HARGA MAHAL Tidak ada NOTA Pesanan TIDAK SESUAI Beli 3 kali Masih pagi, sekitar Jam 8, Jam 9 Mosok balungan e wes entek rek ? Tak kiro enak.. Cedek omah.. gak adoh2 nek MERR Tibak e CAK HAR Cabang WIYUNG Mengecewakan..",1,240,tidak ramah harga mahal tidak nota pesan tidak sesuai beli kali masih pagi jam jam mosok balung wes entek rek tak kiro enak cedek omah gak adoh nek merr tibak cak har cabang wiyung kecewa,187
131,"2 pelayan depot sangat menyebalkan, ketus. Nasi campur dengan sayap ayam sangat kecil sekali, rasa hambar, sangat mahal. Ada tikus dan kecoak berkeliaran di depot itu.",1,167,depot sangat sebal ketus nasi campur sayap ayam sangat kecil sekali rasa hambar sangat mahal tikus kecoak liar depot,116
132,Makanannya mantul dengan harga kompetitif,5,41,mantul harga kompetitif,23
133,Sejak milk untuk komposisi di ganti rasanya beda banget kalo tempat ok malah kalo bisa tambah luas and kursi sofa bertambah,5,123,sejak milk komposisi ganti rasa beda banget kalo malah kalo tambah luas kursi sofa tambah,89
134,Makanan nya rasanya sangat memuaskan dilidah,5,44,rasa sangat muas lidah,22
135,"Sekarang anjing sudah bebas masuk, duduk dikursi pula",1,53,sekarang anjing bebas masuk duduk kursi,39
136,Aku sih yes,5,11,aku sih yes,11
