ID,REVIEW,LABEL,LENGTH,PREPROCESS,LENGTH_PRE
16,Ada smoking area di balkon...enak buat rileks .,5,47,smoking area balkon enak buat rileks,36
17,Nyaman.cozy.recommended buat yang mau santai atau meeting kecil2 an,5,67,nyaman cozy recommended buat mau santai meeting kecil,53
18,Tempat kumpul keluarga yang sangat rekomendasi...,5,49,kumpul keluarga sangat rekomendasi,34
19,Salah satu tempat ngopi ngeteh dan nyantai sejenak ketika belanja di Tunjungan Plaza Surabaya,5,93,salah satu ngopi ngeteh nyantai jenak belanja tunjung plaza surabaya,68
20,"Nyaman sekali, waktu datang juga tidak ramai, bartender nya kasih saran minuman yang Oke juga, untuk harga cenderung murah juga",5,127,nyaman sekali waktu datang tidak ramai bartender kasih saran oke harga cenderung murah,86
21,"Beli lewat grab karena lagi ada promo, oreo cookies dan cream nya enak manis nya pas tidak kemanisan rata2 minuman cookies dan cream manis nya over tetapi ini enggak oreo nya tidak pelit",5,186,beli lewat grab karena promo oreo cookies cream enak manis pas tidak manis rata cookies cream manis tetapi enggak oreo tidak pelit,130
22,Pemesanan cepat menggunakan aplikasi. Kopi disajikan cukup cepat tidak sampai 10 menit. Disediakan meja dan kursi untuk menunggu namun tidak banyak.,5,148,mesan cepat aplikasi kopi saji cukup cepat tidak menit sedia meja kursi tunggu namun tidak banyak,97
23,strawberry lemonade nya,5,23,strawberry lemonade,19
24,Ayam Bakar Primarasa (Januari 2024) - harga nya murah - rasa nya enak - Parkir luas bisa menampung 40 mobil - Bisa menampung 200 orang - Variasi makanan cukup banyak dan masakan umum tetapi enak - penyajian nya juga cepat Dukung ekonomi lokal !!!,5,246,ayam bakar primarasa januari harga murah rasa enak parkir luas tampung mobil tampung orang variasi cukup banyak masakan umum tetapi enak saji cepat dukung ekonomi lokal,168
25,tempat yang cocok buat relaksasi pikiran sambil ngopi,5,53,cocok buat relaksasi pikir ngopi,32
26,"Tolong app shopee food nya jangan di aktifkan kalau belum ready bos !!.. terutama pagi ya.. karena merchant chatime tidak bisa di hubungi, kalau begini kasihan para driver nya bos kena dompret customer",1,201,tolong app shopee food jangan aktif kalau belum ready bos utama pagi karena merchant chatime tidak hubung kalau begini kasihan driver bos kena dompret customer,159
27,"Salah satu minuman yang aku suka, wajib banget cobain.",5,54,salah satu aku suka wajib banget cobain,39
28,"Pelayanan lama, soalnya barista nya satu saja",2,45,lama soal barista satu,22
29,Rasa dan kualitas sesuai. Semoga tetap konsisten mengenai rasa di counter ini,4,77,rasa kualitas sesuai moga tetap konsisten kena rasa counter,59
30,"tempat nya agak kecil ya jadi kalau didalem full harus yang outdoor, apalagi kalau ada kegiatan di gor nya tidak bakal kebagian di dalam.",5,137,agak kecil jadi kalau dalem full outdoor apalagi kalau giat gor tidak bakal,75
31,Enak banget dan nyaman suasana nya,5,34,enak banget nyaman suasana,26
32,"Tempat nyaman, bersih, fasilitas oke banget deh",5,47,nyaman bersih fasilitas oke banget,34
33,pelayanan nya ramah,5,19,ramah,5
34,"Lokasi berada di dalam pom bensin PB. Parkir banyak, mudah, dan gratis. Lokasi strategis. Akses mudah. Pelayanan ramah. kopi nya enak, penataan rapi. Didalam ruangan sejuk karena ada pendingin ruangan, dan bersih juga. Parking: Lokasi parkir berada didepan kedai kopi Kid-friendliness: Tidak cocok untuk anak-anak",5,313,lokasi pom bensin pb parkir banyak mudah gratis lokasi strategis akses mudah ramah kopi enak tata rapi ruang sejuk karena dingin ruang bersih parking lokasi parkir depan kedai kopi kidfriendliness tidak cocok anak,213
35,tempat nya sempit .,3,19,sempit,6
36,Karyawan nya cantik cantik,5,26,karyawan cantik cantik,22
37,Cuma antri tempat parkir nya...,5,31,cuma antri parkir,17
38,"Enak, mantap banget",5,19,enak mantap banget,18
39,Cari angin tipis2,4,17,cari angin tipis,16
40,"Pelayanan lama, kurang ramah, pesan satu menu saja hampir 1 jam.....",1,68,lama kurang ramah pesan satu menu hampir jam,44
41,"Makanan nya sangat recommended semua, pelayanan semua crew juga ramah2",5,70,sangat recommended semua semua crew ramah,41
42,"It's the most delicious, good good",5,34,delicious good good,19
43,Tempat yang nyaman. Makan minum oke. Kentang goreng nya kurang....Lain kali saya tidak akan pesan,4,97,nyaman oke kentang goreng kurang lain kali tidak pesan,54
44,Birthday treats nya mantap. Steak nya enak.,5,43,birthday treats mantap steak enak,33
45,"Kasir ramah banget banget banget. Seingetku nama kasir nya kak Vember (I guess so? yang tertulis di layar seperti itu). Aku beli Chatime pakai kupon discount dari salah satu apps, biasanya kasir langsung jutek kalau customer beli pakai promo, ini tidak dong, ramah banget. padahal posisi sudah pesan minuman dan aku lupa cara pakai kupon nya, eh kak nya nyuruh buat inget2 dulu cara pakai kupon nya, padahal itu aku sudah bilang buat tidak usah pakai kupon saja. Luv banget pokoknya. terimakasih banyak kak Vember",5,513,kasir ramah banget banget banget seingetku nama kasir kak vember guess tulis layar aku beli chatime pakai kupon discount salah satu apps biasa kasir langsung jutek kalau customer beli pakai promo tidak ramah banget padahal posisi pesan aku lupa cara pakai kupon kak nyuruh buat inget dulu cara pakai kupon padahal aku bilang buat tidak usah pakai kupon luv banget pokok terimakasih banyak kak vember,399
46,"Gurih Kering, Enak bangett !!! Hanya buka sampai 3.15 saja. Parking Fee",5,71,gurih kering enak bangett buka parking fee,42
47,tempat nya nyaman dan bagus sekali,5,34,nyaman bagus sekali,19
48,"Beli super fruit tea, gula normal. Gula di cheske ini sepertinya pemanis buatan. ketika minum es teh nya, selalu after taste di mulut dan lidah itu pahit-manis. mirip sekali dengan minuman pemanis buatan. ketika beli di toko lain seperti ke** itu tidak ada after taste seperti ini.",1,281,beli super fruit tea gula normal gula cheske man buat es teh selalu taste mulut lidah pahitmanis mirip sekali man buat beli toko lain tidak taste,145
49,"Untuk kak Ahmad Fajar Muzzaki kalau ada masalah mnding pulang saja deh, daripada jutek banget sama customer.",1,108,kak ahmad fajar muzzaki kalau masalah mnding pulang daripada jutek banget sama customer,87
50,"Cozy Placed, tempat yang oke banget buat nongkrong,ketemu teman atau kerja dengan laptop. Kopi dan makan standard Excelso, selalu jadi tempat favorit di Excelso all cabang",4,171,cozy placed oke banget buat nongkrong ketemu teman kerja laptop kopi standard selalu jadi favorit all cabang,108
51,"Pelayanan ramah, hanya agak lama kalau ramai",4,44,ramah agak lama kalau ramai,27
52,"Murah enak, pelayanan bagus ramah, recommended",5,46,murah enak bagus ramah recommended,34
53,"tempat nya bersih, nyaman, menu nya recommended. harga nya juga terjangkau",5,74,bersih nyaman menu recommended harga jangkau,44
54,"nyaman sih tempat nya , enak banget buat meeting atu nongkrong",5,62,nyaman sih enak banget buat meeting atu nongkrong,49
55,"Cocok untuk kerjain tugas, kurang cocok untuk yang dompet pas2an seperti saya",5,77,cocok kerjain tugas kurang cocok dompet pas,43
56,"Beli pakai gofood paket rawon dan rawon kuah tetapi yang dateng kuah rawon saja dan irisan daging kecil hanya 1, sudah bayar 54 ribu lagi setelah dapat promo. yang benar saja lah..",1,180,beli pakai gofood paket rawon rawon kuah tetapi dateng kuah rawon iris daging kecil bayar ribu telah promo benar lah,116
57,"tempat nya nyaman banget walau tidak terlalu besar, ada ac dan toilet di dalam nya. coba2 cream cheese toast nya enak dan tidak manis banget walaupun sudah dingin, tetapi rasa cream cheese tidak terlalu kerasa. pelayanan nya juga mantap",5,236,nyaman banget walau tidak terlalu besar ac toilet coba cream cheese toast enak tidak manis banget walaupun dingin tetapi rasa cream cheese tidak terlalu rasa mantap,164
58,tempat nya sih cozy. Pelayanan juga oke banget. Sayang mau masuk ke dalam susah jalan nya kecil banget belum lagi kalau bareng sama yang lagi payment atau pegawai nya yang berdiri depan kasir,4,191,sih cozy oke banget sayang mau masuk susah jalan kecil banget belum kalau bareng sama payment pegawai diri depan kasir,118
59,"Teman nge drakor yang cocok banget, kalian wajib coba sih ini, enak banget",5,74,teman nge drakor cocok banget kalian wajib coba sih enak banget,63
60,"Tempat ini menu utamanya awal nya mie pangsit/mie ayam,tetapi sudah ada pengembangan menu nasi dan penyetan,dari harga sesuai dengan apa yang di dapat,recommended",5,162,menu utama awal mie pangsit mie ayam tetapi kembang menu nasi penyet harga sesuai apa recommended,97
61,nunggunya lama banget pelayanan nya buruk sudah menunggu lebih dari 30 menit malah mie nya datang sudah dingin,1,110,nunggunya lama banget buruk tunggu lebih menit malah mie datang dingin,70
62,saya top global pesan mie gacoan via online,5,43,top global pesan mie gaco via online,36
63,Enak mie nya lembut kenyal Ayam nya dan kaldu nya berasa banget Pangsit dan bakso nya juga enak Kuah nya ringan kalau kata aku kuah rasa  cina  suka banget kuah yang seperti ini ringan segar tetapi tasty lezat,5,209,enak mie lembut kenyal ayam kaldu asa banget pangsit bakso enak kuah ringan kalau kata aku kuah rasa cina suka banget kuah ringan segar tetapi tasty lezat,154
64,"Parkir luas. Ada oleh oleh, restoran juga",5,41,parkir luas restoran,20
65,"ukuran nya bikin kenyang, dan lagi gerai nya mudah ditemukan",4,60,ukur bikin kenyang gerai mudah temu,35
66,Selalu menjadi tempat yang nyaman dan pas untuk ngopi santai dan bicara dengan rekan bisnis.,5,92,selalu jadi nyaman pas ngopi santai bicara rekan bisnis,55
67,Banyak promo di chatime suka sekali,5,35,banyak promo chatime suka sekali,32
68,enak minuman yang ada Bobba nya dan sama roti keju manis,5,56,enak bobba sama roti keju manis,31
69,"Steak enak, suasana juga nyaman, pegawai ramah, hanya music yang diputarkan kadang terlalu besar volume nya",4,107,steak enak suasana nyaman pegawai ramah music putar kadang terlalu besar volume,79
70,Too much,4,8,too much,8
71,Mas Barista nya ramah banget,5,28,mas barista ramah banget,24
72,"Mungkin karena sudah biasa dengan pembeli antri dan terburu buru semua ya jadi kak petugas nya sigap banget, cepat, tetapi sabar.. menagani request, pertanyaan, sampai kartu ngadat tetep telaten. Kopi enak seperti biasa, cepat pula. Keren kak nya",5,246,mungkin karena biasa beli antri buru buru semua jadi kak tugas sigap banget cepat tetapi sabar tagan request tanya kartu ngadat tetep telaten kopi enak biasa cepat keren kak,173
73,Makanan enak. Suasana enak..,1,28,enak suasana enak,17
74,"Penyajian cepat, pelayanan cukup ramah, tempat bersih",3,53,saji cepat cukup ramah bersih,29
75,"mantap jiwa baru pertama kali ngopi disini tetapi lansung enak, dan pesanan nya tidak susah,, sayangnya kursi nya sedikit jadi kalau weekend sulit dapet tempat yang enak.. terimakasih untuk first impression nya",5,210,mantap jiwa baru pertama kali ngopi sini tetapi lansung enak pesan tidak susah sayang kursi sedikit jadi kalau weekend sulit dapet enak terimakasih first impression,164
76,Potongan terbaik,5,16,potong baik,11
77,tidak ADIL sudah DAPAT TEMPAT MASING  TIBA  ADA YANG NEMPATINN ORANG LAIN,2,73,tidak adil masing tiba nempatinn orang lain,43
78,"Rasa nya enak, pelayanan nya baik",5,33,rasa enak baik,14
79,karyawan nya lama lambat parah lama banget tidak ramah sangat buruk untuk pegawai nya,1,85,karyawan lama lambat parah lama banget tidak ramah sangat buruk pegawai,71
80,"kesini sabtu pagi, lumayan opsi cake nya masih lengkap",5,54,kesini sabtu pagi lumayan opsi cake masih lengkap,49
81,"Lumayan lah, pas di superindo bisa sekalian jajan disini",4,56,lumayan lah pas superindo sekali jajan sini,43
82,"2x agak malam sedikit waktu weekend selalu sudah close order. padahal sebelah masih ramai, tidak suka customer",1,110,agak malam sedikit waktu weekend selalu close order padahal belah masih ramai tidak suka customer,97
83,Surabaya punya,5,14,surabaya punya,14
84,"tidak pernah bosen sama 2 menu dari CHESKE : fruit tea dan souffle cheese nya, karena memang seenak itu! Kalo lagi ke GM (mall terdekat), pasti mampir sini, atau kalau tidak bisa order via online.. Harga juga relatif terjangkau ya, untuk setiap varian menu nya.. Kamu suka menu apa kalau lagi di CHESKE?",5,303,tidak pernah bosen sama menu cheske fruit tea souffle cheese karena memang enak kalo mall dekat mampir sini kalau tidak order via online harga relatif jangkau tiap varian menu kamu suka menu apa kalau cheske,207
85,pelayanan nya ramah.,5,20,ramah,5
86,"tempat nya bagus, cocok buat kumpul bareng teman dan keluarga dengan vibes yang cozy, harga masih affordable dan yang lebih penting kasir nya ramah ramah",5,153,bagus cocok buat kumpul bareng teman keluarga vibes cozy harga masih affordable lebih penting kasir ramah ramah,111
87,"pelayanan ramah, banyak promo mantap",5,36,ramah banyak promo mantap,25
88,"Suasana nyaman dan bersih, service nya baik dan sabar.. minuman nya paling suka chocolate moose.. Maaf kalau salah penulisan",4,124,suasana nyaman bersih service baik sabar paling suka chocolate moose maaf kalau salah tulis,91
89,Meskipun tempat nya sempit pelayanan nya baik cepat dan ramah,5,61,meski sempit baik cepat ramah,29
90,Nyaman banget sampai pulang,5,27,nyaman banget pulang,20
91,yang mau nongkrong sejenak santai dan express bisa banget ke excelso Diponegoro tempat nya tidak terlalu luas ya karena memang ini khusus excelso express. Ada yang spesial loh di tempat ini karena bisa sambil lihat2 motor2 moge Harley Davidson yang nangkring Selamat mencoba,5,274,mau nongkrong jenak santai express banget diponegoro tidak terlalu luas karena memang khusus express spesial karena lihat motor moge harley davidson nangkring selamat coba,171
92,Santai,5,6,santai,6
93,Pesanan makanan 4 menu sampai menunggu 20 menit,1,47,pesan menu tunggu menit,23
94,"tempat nya bagus dan instagramable, aku makan nasi campur ayam panggang dan cumi hitam, tempe/tahu bacem. ayam nya empuk manis, cumi hitam hanya asin yang dominan tekstur cumi juga agak lihat, tahu/tempe bacem kecut...terkesan seperti sudah basi, kata teman sih kebanyakan asam, sambal nya juga agak asam banyak tomat nya. Porsi nasi lumayan banyak sih. Masih lebih enak yang di A. Yani Surabaya sih, ayo jangan mau kalah sama Surabaya. Tapi tempat nya keren sih",3,462,bagus instagramable aku nasi campur ayam panggang cumi hitam tempe tahu bacem ayam empuk manis cumi hitam asin dominan tekstur cumi agak lihat tahu tempe bacem kecut kes basi kata teman sih banyak asam sambal agak asam banyak tomat porsi nasi lumayan banyak sih masih lebih enak yani surabaya sih ayo jangan mau kalah sama surabaya tapi keren sih,346
95,"Kurang puas pegawai kebanyakan, Ngobrol ketika melayani pembeli, menunggu waktu 30 menit lebih , kurang memuaskan di pelayanan kasir .",1,134,kurang puas pegawai banyak ngobrol beli tunggu waktu menit lebih kurang muas kasir,82
96,"Minuman enak, pelayanan ramah , suasana nyaman dan banyak promo juga tentunya. terimakasih chatime",5,98,enak ramah suasana nyaman banyak promo tentu terimakasih chatime,64
97,"Rasa kopi nya enak, pelayanan lumayan cepat.. tetapi terkadang meja nya kotor",5,77,rasa kopi enak lumayan cepat tetapi terkadang meja kotor,56
98,"Good ambience , tempat yang sangat nyaman dan aesthetic bikin betah seharian . favorit place!!!",5,95,good ambience sangat nyaman aesthetic bikin betah hari favorit place,68
99,Parking: Kurang memadahi karena mengganggu rumah sekitarnya Food,3,64,parking kurang padah karena ganggu rumah food,45
100,"Lama banget menunggu pesanan online, tolong diperbaiki lagi kinerja pesanan online nya",1,86,lama banget tunggu pesan online tolong baik kerja pesan online,62
101,makanan dan minuman yang saya pesan sesuai dengan harga nya. enak dan banyak varian. pelayanan nya juga bagus. dan untuk dine-in juga nyaman terlebih lagi disana ada sofa dan mungkin sofa nya bisa dibersihkan lagi,5,213,pesan sesuai harga enak banyak varian bagus dinein nyaman lebih sana sofa mungkin sofa bersih,93
102,Baru jam 18.00 untuk buka puasa. Nasi habis. Sedikit kecewa....,4,63,baru jam buka puasa nasi habis sedikit kecewa,45
103,"tempat nya sangat luas, parkir motor di belakang ya",5,51,sangat luas parkir motor belakang,33
104,"Rasa biasa saja, kurang cocok. harga nya lumayan mahal. Ruangan tidak dingin, seperti nya ac tidak nyala atau rusak. pelayanan nya kurang ramah",3,143,rasa biasa kurang cocok harga lumayan mahal ruang tidak dingin ac tidak nyala rusak kurang ramah,96
105,tempat nya keren.. staff nya juga ramah.. seperti biasa saya pesan kopken mantan less ice dan less sugar,5,104,keren staff ramah biasa pesan mantan less ice less sugar,56
106,Mie nya memang top terutama bakso nya sangat lembut,5,51,mie memang top utama bakso sangat lembut,40
107,"warung legend, hanya disini owner hingga pramusaji ramah banget!",5,64,warung legend sini owner hingga pramusaji ramah banget,54
108,Enak sekali,5,11,enak sekali,11
109,"Layanan sangat Buruk , sangat tidak membantu sama sekali , hanya minta 1 sendok saja tidak boleh .  Dengan alasan pertama tidak ada , lalu kalau orang pesan roti atau cake makan nya pakai apa dan alasan berikutnya  kena charge , harga sendok nya memang terbuat dari Emas kali ya . tidak masuk akal . Baru kali ini pengalaman di kopken yang sangat BURUK .",1,354,sangat buruk sangat tidak bantu sama sekali minta sendok tidak alas pertama tidak lalu kalau orang pesan roti cake pakai apa alas ikut kena charge harga sendok memang buat emas kali tidak masuk akal baru kali alam sangat buruk,226
110,"LOCATION: Lokasi nya didalam mall BG junction, cukup mudah menemukan store nya didepan HokBen. VIBES: Desain Interior nya standard seperti Starbucks pada umumnya. tempat nya tidak terlalu besar namun tetap nyaman untuk me time atau untuk nongkrong dengan teman. tempat nya juga bersih. AC-nya juga dingin. SERVICE, TASTE & PRICE: Barista nya sangat ramah dan cepat. Sistem pelayanan nya self service. menu nya standard seperti Starbucks pada umumnya. Harga standard seperti Starbucks pada umumnya. pembayaran dapat menggunakan QRIS, Starbucks Card maupun cash. FACILITIES: WIFI tersedia dan cukup oke. Tidak ada kamar mandi gabung di dalam Mall. Cukup banyak tempat charging. MORE REVIEW: Overall, Untuk Starbucks di Surabaya ini tidak terlalu ramai dikunjungi customer. Bisa jadi salah satu alternatif jadi tempat nongkrong atau productive yang nyaman.",5,853,location lokasi mall bg junction cukup mudah temu store depan hokben vibes desain interior standard starbucks umum tidak terlalu besar namun tetap nyaman time nongkrong teman bersih acnya dingin service taste price barista sangat ramah cepat sistem self service menu standard starbucks umum harga standard starbucks umum bayar qris starbucks card maupun cash facilities wifi sedia cukup oke tidak kamar mandi gabung mall cukup banyak charging review overall starbucks surabaya tidak terlalu ramai kunjung customer jadi salah satu alternatif jadi nongkrong productive nyaman,573
111,"lama penyajian nya , ampun",1,26,lama saji ampun,15
112,"Staff tidak ramah, sudah minta untuk bersihkan meja malah tidak dibersihkan",2,75,staff tidak ramah minta sih meja malah tidak bersih,51
113,"Resto lama yang legendaris, ayam bakar nya enak banget.. anak saya lahap makan disini, semua suka. Sambal enak plus kremesan, tumis kangkung nya sedap sekali. Gurame goreng nya juga enak. Tempat tergolong besar dan bersih, prima rasa juga banyak cabang nya. Memang harga nya agak mahal tetapi sangat worth it dengan rasa. Untuk parkiran ada tetapi tidak banyak. kemarin juga nyoba kue lumpur dan pop corn, semua enak. tidak pernah nyesal makan di ayam bakar prima rasa, enak.",5,475,resto lama legendaris ayam bakar enak banget anak lahap sini semua suka sambal enak plus kremesan tumis kangkung sedap sekali gurame goreng enak golong besar bersih prima rasa banyak cabang memang harga agak mahal tetapi sangat worth rasa parkir tetapi tidak banyak kemarin nyoba kue lumpur pop corn semua enak tidak pernah nyesal ayam bakar prima rasa enak,357
114,"kasir nya ramah, pelayanan nya juga cepat, suka deh",5,51,kasir ramah cepat suka,22
115,Nyaman dan pelayanan ramah cepat juga,5,37,nyaman ramah cepat,18
116,"Perlu sidak dari management nya, tidak di tanya nama, tidak ada minta maaf saat saya tanya kenapa, akhirnya ada yang terlewat dan tidak di panggil ulang, pembelian tgl 7 november 2020, jam 15.45, saran untuk perbaikan, terimakasih",2,230,perlu sidak management tidak tanya nama tidak minta maaf tanya kenapa akhir lewat tidak panggil ulang beli tgl november jam saran baik terimakasih,146
117,"Pesan gurame pesmol, ayam bakar, cah kangkung, es jeruk 2. Gurami pesmol : rasa nya benar2 enak, pecah di mulut, ketika digigit terasa banget bumbu sama ikan yang fresh pecah di mulut. Ayam bakar : untuk rasa standard seperti ayam bakar pada umum nya. Cah kangkung : rasa nya enak banget gurih, asin balance, tekstur nya ketika digigit masih kriuk2 jadi mantep untuk cah kangkung recommended. Nasi putih juga pulen enak Untuk es jeruk standard saja recommended untuk makan sama pasangan dan keluarga.",5,500,pesan gurame pesmol ayam bakar cah kangkung es jeruk gurami pesmol rasa benar enak pecah mulut gigit asa banget bumbu sama ikan fresh pecah mulut ayam bakar rasa standard ayam bakar umum cah kangkung rasa enak banget gurih asin balance tekstur gigit masih kriuk jadi mantep cah kangkung recommended nasi putih pulen enak es jeruk standard recommended sama pasang keluarga,371
118,"Kok kak waitress nya tidak ramah customer ya, naruh gelas di meja saya kasar sekali",3,83,kok kak waitress tidak ramah customer naruh gelas meja kasar sekali,67
119,Lokasi sudut Jalan Sulawesi Akses parkir cukup mudah . Space cukup untuk beberapa kelompok yang mau nongkrong...bisa buat family spot atau rekan.... . Harga standard Taste standard . Smoking dan Non-Smoking area. Tinggal pilih saja...,5,234,lokasi sudut jalan sulawesi akses parkir cukup mudah space cukup beberapa kelompok mau nongkrong buat family spot rekan harga standard taste standard smoking nonsmoking area tinggal pilih,187
120,"Dulu sering kesini karena cari rujak yang bersih kalau pas ada tamu ini jadi rujukan. Sekarang sih menurut saya agak kurang nyaman tempat nya bau ruangan nya, kebersihan nya. Tapi kalau rasa rujak nya masih nyaman kalau tidak salah kemarin makan disini harga rujak sekitar 40K dan minum nya es blewah",4,300,dulu sering kesini karena cari rujak bersih kalau pas tamu jadi rujuk sekarang sih turut agak kurang nyaman bau ruang bersih tapi kalau rasa rujak masih nyaman kalau tidak salah kemarin sini harga rujak es blewah,212
121,"Jujur saya sebagai penikmat kopken bahkan jadi salah satu kopi favorit saya sangat kecewa pas pesan kopi disini, mungkin perlu di training lagi atau bagaimana, cuma tadi saya pesan less sugar malah rasa kopi nya tidak ada hanya rasa susu saja, kopi nya hanya 10%, bukan kali pertama saya merasakan kenangan mantan ini, tetapi tadi saya sampai berpikir keras apa saya yang salah pesan, tetapi ternyata memang kurang dari segi rasa, cukup kecewa semoga di perbaiki lagi",1,467,jujur bagai nikmat bahkan jadi salah satu kopi favorit sangat kecewa pas pesan kopi sini mungkin perlu training bagaimana cuma tadi pesan less sugar malah rasa kopi tidak rasa susu kopi bukan kali pertama rasa kenang mantan tetapi tadi pikir keras apa salah pesan tetapi nyata memang kurang segi rasa cukup kecewa moga baik,323
122,"Masa dapat pesanan dari tadi sampai tiba di resto belum dibautkan sama sekali, dan malah tanya pesanan nya apa",1,110,masa pesan tadi tiba resto belum baut sama sekali malah tanya pesan apa,71
123,"Restoran yang meskipun harga nya termasuk mahal namun selalu ramai. Karena memang makanan nya sangat enak. Di cabang yang ini ada lantai atas nya juga, digunakan kalau lantai yang bawah sudah penuh. pelayanan nya sangat ramah, dan selalu senyum.",5,245,restoran meski harga masuk mahal namun selalu ramai karena memang sangat enak cabang lantai atas kalau lantai bawah penuh sangat ramah selalu senyum,148
124,"Tidak ramah, kak nya cemberut saja muka kecut",1,45,tidak ramah kak cemberut muka kecut,35
125,Mantap ini sambal an nya,5,24,mantap sambal,13
126,Tempat strategis di TP 1,5,24,strategis,9
127,"tempat nya lebih oke dari excelso yang lain, salad nya juga semua bahan nya benar2 fresh banget beef nya bumbu nya pas, jadi kerasa segar dan enak pas makan sayang pelayanan nya mungkin karena yang melayani masih pakai baju item training atau masih baru jadi ya sudah di maklumi, harusnya kalau kurang paham sama pesanan yang dipesan bisa balik lagi konfirmasi atau harusnya mengulangi pesanan sebelum balik",4,407,lebih oke lain salad semua bahan benar fresh banget beef bumbu pas jadi rasa segar enak pas sayang mungkin karena masih pakai baju item training masih baru jadi maklum kalau kurang paham sama pesan pes balik konfirmasi ulang pesan belum balik,242
128,"Kesini karena dapet promo BOGO suasana nya nyaman, dingin, meski agak jauh tetapi enak karena tidak begitu ramai. Paling favorit caramel machiato",5,145,kesini karena dapet promo bogo suasana nyaman dingin meski agak jauh tetapi enak karena tidak begitu ramai paling favorit caramel machiato,138
129,Overall cocok untuk yang cari murah tetapi enak. tempat nya not bad sih. 4 bintang dari 5.,4,90,overall cocok cari murah tetapi enak not bad sih bintang,56
130,"Pelayanan TIDAK RAMAH HARGA MAHAL Tidak ada NOTA Pesanan TIDAK SESUAI Beli 3 kali Masih pagi, sekitar Jam 8, Jam 9 masa balungan e sudah habis rek ? tidak kiro enak.. Cedek omah.. tidak adoh2 nek MERR Tibak e CAK HAR Cabang WIYUNG Mengecewakan..",1,245,tidak ramah harga mahal tidak nota pesan tidak sesuai beli kali masih pagi jam jam masa balung habis rek tidak kiro enak cedek omah tidak adoh nek merr tibak cak har cabang wiyung kecewa,186
131,"2 pelayan depot sangat menyebalkan, ketus. Nasi campur dengan sayap ayam sangat kecil sekali, rasa hambar, sangat mahal. Ada tikus dan kecoak berkeliaran di depot itu.",1,167,depot sangat sebal ketus nasi campur sayap ayam sangat kecil sekali rasa hambar sangat mahal tikus kecoak liar depot,116
132,makanan nya mantul dengan harga kompetitif,5,42,mantul harga kompetitif,23
133,Sejak milk untuk komposisi di ganti rasa nya beda banget kalau tempat nyaman malah kalau bisa tambah luas and kursi sofa bertambah,5,130,sejak milk komposisi ganti rasa beda banget kalau nyaman malah kalau tambah luas kursi sofa tambah,98
134,Makanan nya rasa nya sangat memuaskan dilidah,5,45,rasa sangat muas lidah,22
135,"Sekarang anjing sudah bebas masuk, duduk dikursi pula",1,53,sekarang anjing bebas masuk duduk kursi,39
136,Aku sih yes,5,11,aku sih yes,11
137,"dari semua outlet yang pernah saya kunjungi, KK rungkut madya lah satu-satunya outlet KopKen yang ada mushola nya, lengkap dengan sandal untuk wudhu... Keren. Faham sekali kebutuhan konsumen muslim. . yang perlu ditambah, jalur colokan listrik..  # semoga dapat dipahami # harap maklum",4,285,semua outlet pernah kunjung kk rungkut madya lah satu outlet mushola lengkap sandal wudhu keren faham sekali butuh konsumen muslim perlu tambah jalur colok listrik moga paham harap maklum,187
