ID	REVIEW	LABEL
59	Teman nge drakor yang cocok banget, kalian wajib coba sih ini, enak banget	5
60	Tempat ini menu utamanya awal nya mie pangsit/mie ayam,tetapi sudah ada pengembangan menu nasi dan penyetan,dari harga sesuai dengan apa yang di dapat,recommended	5
61	nunggunya lama banget pelayanan nya buruk sudah menunggu lebih dari 30 menit malah mie nya datang sudah dingin	1
62	saya top global pesan mie gacoan via online	5
63	Enak mie nya lembut kenyal Ayam nya dan kaldu nya berasa banget Pangsit dan bakso nya juga enak Kuah nya ringan kalau kata aku kuah rasa  cina  suka banget kuah yang seperti ini ringan segar tetapi tasty lezat	5
64	Parkir luas. Ada oleh oleh, restoran juga	5
65	ukuran nya bikin kenyang, dan lagi gerai nya mudah ditemukan	4
66	Selalu menjadi tempat yang nyaman dan pas untuk ngopi santai dan bicara dengan rekan bisnis.	5
67	Banyak promo di chatime suka sekali	5
68	enak minuman yang ada Bobba nya dan sama roti keju manis	5
69	Steak enak, suasana juga nyaman, pegawai ramah, hanya music yang diputarkan kadang terlalu besar volume nya	4
70	Too much	4
71	Mas Barista nya ramah banget	5
72	Mungkin karena sudah biasa dengan pembeli antri dan terburu buru semua ya jadi kak petugas nya sigap banget, cepat, tetapi sabar.. menagani request, pertanyaan, sampai kartu ngadat tetep telaten. Kopi enak seperti biasa, cepat pula. Keren kak nya	5
73	Makanan enak. Suasana enak..	1
74	Penyajian cepat, pelayanan cukup ramah, tempat bersih	3
75	mantap jiwa baru pertama kali ngopi disini tetapi lansung enak, dan pesanan nya tidak susah,, sayangnya kursi nya sedikit jadi kalau weekend sulit dapet tempat yang enak.. terimakasih untuk first impression nya	5
76	Potongan terbaik	5
77	tidak ADIL sudah DAPAT TEMPAT MASING  TIBA  ADA YANG NEMPATINN ORANG LAIN	2
78	Rasa nya enak, pelayanan nya baik	5
79	karyawan nya lama lambat parah lama banget tidak ramah sangat buruk untuk pegawai nya	1
80	kesini sabtu pagi, lumayan opsi cake nya masih lengkap	5
81	Lumayan lah, pas di superindo bisa sekalian jajan disini	4
82	2x agak malam sedikit waktu weekend selalu sudah close order. padahal sebelah masih ramai, tidak suka customer	1
83	Surabaya punya	5
84	tidak pernah bosen sama 2 menu dari CHESKE : fruit tea dan souffle cheese nya, karena memang seenak itu! Kalo lagi ke GM (mall terdekat), pasti mampir sini, atau kalau tidak bisa order via online.. Harga juga relatif terjangkau ya, untuk setiap varian menu nya.. Kamu suka menu apa kalau lagi di CHESKE?	5
85	pelayanan nya ramah.	5
86	tempat nya bagus, cocok buat kumpul bareng teman dan keluarga dengan vibes yang cozy, harga masih affordable dan yang lebih penting kasir nya ramah ramah	5
87	pelayanan ramah, banyak promo mantap	5
88	Suasana nyaman dan bersih, service nya baik dan sabar.. minuman nya paling suka chocolate moose.. Maaf kalau salah penulisan	4
89	Meskipun tempat nya sempit pelayanan nya baik cepat dan ramah	5
90	Nyaman banget sampai pulang	5
91	yang mau nongkrong sejenak santai dan express bisa banget ke excelso Diponegoro tempat nya tidak terlalu luas ya karena memang ini khusus excelso express. Ada yang spesial loh di tempat ini karena bisa sambil lihat2 motor2 moge Harley Davidson yang nangkring Selamat mencoba	5
92	Santai	5
93	Pesanan makanan 4 menu sampai menunggu 20 menit	1
94	tempat nya bagus dan instagramable, aku makan nasi campur ayam panggang dan cumi hitam, tempe/tahu bacem. ayam nya empuk manis, cumi hitam hanya asin yang dominan tekstur cumi juga agak lihat, tahu/tempe bacem kecut...terkesan seperti sudah basi, kata teman sih kebanyakan asam, sambal nya juga agak asam banyak tomat nya. Porsi nasi lumayan banyak sih. Masih lebih enak yang di A. Yani Surabaya sih, ayo jangan mau kalah sama Surabaya. Tapi tempat nya keren sih	3
95	Kurang puas pegawai kebanyakan, Ngobrol ketika melayani pembeli, menunggu waktu 30 menit lebih , kurang memuaskan di pelayanan kasir .	1
96	Minuman enak, pelayanan ramah , suasana nyaman dan banyak promo juga tentunya. terimakasih chatime	5
97	Rasa kopi nya enak, pelayanan lumayan cepat.. tetapi terkadang meja nya kotor	5
98	Good ambience , tempat yang sangat nyaman dan aesthetic bikin betah seharian . favorit place!!!	5
99	Parking: Kurang memadahi karena mengganggu rumah sekitarnya Food	3
100	Lama banget menunggu pesanan online, tolong diperbaiki lagi kinerja pesanan online nya	1
101	makanan dan minuman yang saya pesan sesuai dengan harga nya. enak dan banyak varian. pelayanan nya juga bagus. dan untuk dine-in juga nyaman terlebih lagi disana ada sofa dan mungkin sofa nya bisa dibersihkan lagi	5
102	Baru jam 18.00 untuk buka puasa. Nasi habis. Sedikit kecewa....	4
103	tempat nya sangat luas, parkir motor di belakang ya	5
104	Rasa biasa saja, kurang cocok. harga nya lumayan mahal. Ruangan tidak dingin, seperti nya ac tidak nyala atau rusak. pelayanan nya kurang ramah	3
105	tempat nya keren.. staff nya juga ramah.. seperti biasa saya pesan kopken mantan less ice dan less sugar	5
106	Mie nya memang top terutama bakso nya sangat lembut	5
107	warung legend, hanya disini owner hingga pramusaji ramah banget!	5
108	Enak sekali	5
109	Layanan sangat Buruk , sangat tidak membantu sama sekali , hanya minta 1 sendok saja tidak boleh .  Dengan alasan pertama tidak ada , lalu kalau orang pesan roti atau cake makan nya pakai apa dan alasan berikutnya  kena charge , harga sendok nya memang terbuat dari Emas kali ya . tidak masuk akal . Baru kali ini pengalaman di kopken yang sangat BURUK .	1
110	LOCATION: Lokasi nya didalam mall BG junction, cukup mudah menemukan store nya didepan HokBen. VIBES: Desain Interior nya standard seperti Starbucks pada umumnya. tempat nya tidak terlalu besar namun tetap nyaman untuk me time atau untuk nongkrong dengan teman. tempat nya juga bersih. AC-nya juga dingin. SERVICE, TASTE & PRICE: Barista nya sangat ramah dan cepat. Sistem pelayanan nya self service. menu nya standard seperti Starbucks pada umumnya. Harga standard seperti Starbucks pada umumnya. pembayaran dapat menggunakan QRIS, Starbucks Card maupun cash. FACILITIES: WIFI tersedia dan cukup oke. Tidak ada kamar mandi gabung di dalam Mall. Cukup banyak tempat charging. MORE REVIEW: Overall, Untuk Starbucks di Surabaya ini tidak terlalu ramai dikunjungi customer. Bisa jadi salah satu alternatif jadi tempat nongkrong atau productive yang nyaman.	5
111	lama penyajian nya , ampun	1
112	Staff tidak ramah, sudah minta untuk bersihkan meja malah tidak dibersihkan	2
113	Resto lama yang legendaris, ayam bakar nya enak banget.. anak saya lahap makan disini, semua suka. Sambal enak plus kremesan, tumis kangkung nya sedap sekali. Gurame goreng nya juga enak. Tempat tergolong besar dan bersih, prima rasa juga banyak cabang nya. Memang harga nya agak mahal tetapi sangat worth it dengan rasa. Untuk parkiran ada tetapi tidak banyak. kemarin juga nyoba kue lumpur dan pop corn, semua enak. tidak pernah nyesal makan di ayam bakar prima rasa, enak.	5
114	kasir nya ramah, pelayanan nya juga cepat, suka deh	5
115	Nyaman dan pelayanan ramah cepat juga	5
116	Perlu sidak dari management nya, tidak di tanya nama, tidak ada minta maaf saat saya tanya kenapa, akhirnya ada yang terlewat dan tidak di panggil ulang, pembelian tgl 7 november 2020, jam 15.45, saran untuk perbaikan, terimakasih	2
117	Pesan gurame pesmol, ayam bakar, cah kangkung, es jeruk 2. Gurami pesmol : rasa nya benar2 enak, pecah di mulut, ketika digigit terasa banget bumbu sama ikan yang fresh pecah di mulut. Ayam bakar : untuk rasa standard seperti ayam bakar pada umum nya. Cah kangkung : rasa nya enak banget gurih, asin balance, tekstur nya ketika digigit masih kriuk2 jadi mantep untuk cah kangkung recommended. Nasi putih juga pulen enak Untuk es jeruk standard saja recommended untuk makan sama pasangan dan keluarga.	5
118	Kok kak waitress nya tidak ramah customer ya, naruh gelas di meja saya kasar sekali	3
119	Lokasi sudut Jalan Sulawesi Akses parkir cukup mudah . Space cukup untuk beberapa kelompok yang mau nongkrong...bisa buat family spot atau rekan.... . Harga standard Taste standard . Smoking dan Non-Smoking area. Tinggal pilih saja...	5
120	Dulu sering kesini karena cari rujak yang bersih kalau pas ada tamu ini jadi rujukan. Sekarang sih menurut saya agak kurang nyaman tempat nya bau ruangan nya, kebersihan nya. Tapi kalau rasa rujak nya masih nyaman kalau tidak salah kemarin makan disini harga rujak sekitar 40K dan minum nya es blewah	4
121	Jujur saya sebagai penikmat kopken bahkan jadi salah satu kopi favorit saya sangat kecewa pas pesan kopi disini, mungkin perlu di training lagi atau bagaimana, cuma tadi saya pesan less sugar malah rasa kopi nya tidak ada hanya rasa susu saja, kopi nya hanya 10%, bukan kali pertama saya merasakan kenangan mantan ini, tetapi tadi saya sampai berpikir keras apa saya yang salah pesan, tetapi ternyata memang kurang dari segi rasa, cukup kecewa semoga di perbaiki lagi	1
122	Masa dapat pesanan dari tadi sampai tiba di resto belum dibautkan sama sekali, dan malah tanya pesanan nya apa	1
123	Restoran yang meskipun harga nya termasuk mahal namun selalu ramai. Karena memang makanan nya sangat enak. Di cabang yang ini ada lantai atas nya juga, digunakan kalau lantai yang bawah sudah penuh. pelayanan nya sangat ramah, dan selalu senyum.	5
124	Tidak ramah, kak nya cemberut saja muka kecut	1
125	Mantap ini sambal an nya	5
126	Tempat strategis di TP 1	5
127	tempat nya lebih oke dari excelso yang lain, salad nya juga semua bahan nya benar2 fresh banget beef nya bumbu nya pas, jadi kerasa segar dan enak pas makan sayang pelayanan nya mungkin karena yang melayani masih pakai baju item training atau masih baru jadi ya sudah di maklumi, harusnya kalau kurang paham sama pesanan yang dipesan bisa balik lagi konfirmasi atau harusnya mengulangi pesanan sebelum balik	4
128	Kesini karena dapet promo BOGO suasana nya nyaman, dingin, meski agak jauh tetapi enak karena tidak begitu ramai. Paling favorit caramel machiato	5
129	Overall cocok untuk yang cari murah tetapi enak. tempat nya not bad sih. 4 bintang dari 5.	4
130	Pelayanan TIDAK RAMAH HARGA MAHAL Tidak ada NOTA Pesanan TIDAK SESUAI Beli 3 kali Masih pagi, sekitar Jam 8, Jam 9 masa balungan e sudah habis rek ? tidak kiro enak.. Cedek omah.. tidak adoh2 nek MERR Tibak e CAK HAR Cabang WIYUNG Mengecewakan..	1
131	2 pelayan depot sangat menyebalkan, ketus. Nasi campur dengan sayap ayam sangat kecil sekali, rasa hambar, sangat mahal. Ada tikus dan kecoak berkeliaran di depot itu.	1
132	makanan nya mantul dengan harga kompetitif	5
133	Sejak milk untuk komposisi di ganti rasa nya beda banget kalau tempat nyaman malah kalau bisa tambah luas and kursi sofa bertambah	5
134	Makanan nya rasa nya sangat memuaskan dilidah	5
135	Sekarang anjing sudah bebas masuk, duduk dikursi pula	1
136	Aku sih yes	5
137	dari semua outlet yang pernah saya kunjungi, KK rungkut madya lah satu-satunya outlet KopKen yang ada mushola nya, lengkap dengan sandal untuk wudhu... Keren. Faham sekali kebutuhan konsumen muslim. . yang perlu ditambah, jalur colokan listrik..  # semoga dapat dipahami # harap maklum	4
138	Layanan cepat, ramah, makanan enak.. Parkir nya preman banget. Parking: Parkir nya preman banget... Langsung diarahkan parkir ditempat yang disediakan di lahan oleh bu Rudy, kenapa paksa bayar tanpa karcis parkir?....  apakah memang begitu parkir di Depot bu Rudy..? Sayang sekali kalau seperti ini... Bikin orang kapok gegara parkir.	2
139	cocok dilidah	5
140	semua pekerjaan memang melelahkan.. tetapi bagaimanapun, kasir seharusnya tetap ramah, dan minimal menyapa pelanggan.	1
141	kopi nya mantap pas dengan selera	5
142	Nyaman enak	5
143	Aku suka beli disini, kak kasir nya ramah banget membantu sakali, kalau tidak salah nama nya Sheila, baik baik terus ya karyawan chatime kaya kak Sheila	5
144	mantap sekali, enak rasa nya	5
145	Oke untuk nongkrong dan nugas, tetapi suasana agak sedikit kurang	3
146	Terletak di dalam mall Royal Plaza di lantai paling dasar. Sering menyediakan berbagai promo menarik seperti ketika saya membeli ada promo beli 2 kopi harga nya Rp 20 ribu. Jadi coba cari tahu dulu promo apa yang ada dan biasanya terpasang banner promo menarik di sebelah stan mereka. Pelayan ramah, tempat bersih, dan disediakan tempat duduk untuk menunggu. Harga kopi bervariasi mulai dari Rp 18 ribu hingga sekitar Rp 40 ribu. Ada menu America Blend dan juga Milk Tea. Ada aneka tumbler lucu dan menarik serta roti khas mereka yang rasa nya enak  dan harga nya terjangkau.	5
147	Seru juga buat hangout	5
148	Baru ini makan di tempat tetapi duduk diatur semaunya kasir nya bad lah jangan kesini kalau mau makan dine-in buruk banget makan boleh murah tetapi kalau service buruk ya sama saja Beli udang keju eh gada keju nya dong bolong begitu pas digigit kaya di post saya sudah begitu mi oily banget sampai seperti mi kuah dah kapok lah tidak akan makan gacoan lagi	1
149	Fast and friendly service.. for the taste of the drink is more or less the same Parking: Inside tetapi	4
150	makanan nya enak, tempat nya nyaman, hanya kadang lalatnya annoying juga	4
151	Hezelnut coklat tidak ada obat	4
152	After all semua nya oke cuma satu kekurangan nya tempat nya nongkrong nya kurang lebar dan kurang privasi	4
153	Beli botok mau dibawa pulang tidak diberi tempat. Biarpun beli tidak boleh.	1
154	Ada porsi anak2 yang pas, minuman porsi besar dan agak kemanisan	5
155	Tutup jam berapa ya? Di google tertulis jam 10 kata tukang parkir jam 9	4
156	Nyaman di outdoor nya kalau di indoor bising jika bersamaan dengan acara ultah	5
157	tempat nya bagus	5
158	Beli hari minggu kasir nya kek jutek banget pdahal masih sore, seharusnya belum capek. Capek juga tidak boleh lah jutek ke customer tidak ada senyum2 nya Beli 3 varian rasa nya ya biasa saja Variant kopi nya bukan untuk penikmat kopi pesan less sugar tetapi masih manis	2
159	Resto yang sangat buruk menurut saya, Saya dapet pesanan terus menu kosong tetapi di aplikasi tidak di matikan , kita sebagai driver kan tidak tahu menahu, dengan gampang nya resto langsung di cancel dari restoran, dia punya pikiran apa tidak ya kan harus nya di omongin dulu masak langsung di cancel tahu begitu ngapain tunggu driver sampai di lantai 4 itu jauh lho	1
160	Mampir kesini buat melepas dahaga. tempat nya sederhana, karyawan juga baik-baik pelayanan nya. Cuma mungkin bisa ditambah kursi nya supaya customer bisa minum sambil duduk atau istirahat sembari menunggu pesanan siap diambil. Waktu itu pesan green tea, rasa nya enak sesuai harga nya. Semoga pelayanan yang baik bisa tetap dipertahankan, sukses selalu. Parking: Lokasi di dalam Royal Plaza, jadi parkiran nya terletak di luar	4
161	semua nya gratis	5
162	Pesan lewat shoppefood buy 1 get 1 tetapi yang datang hanya 1, pengembalian dana nya juga tidak sesuai menurut saya. Sangat mengecewakan	1
163	Kopi biar tenang	5
164	Enak cuma memang karena bu kris sudah legend harga sesuaikan dengan kantong ya	5
165	karyawan nya banyak tetapi kurang cekatan	1
166	Akhirnya ada kopken di stasiun gubeng, sekarang kalau mau perjalan jarak jauh tidak bingung lagi sama asupan kaffein apa lagi bisa bundling sama roti. Perjalanan naik kereta api jadi lebih menyenangkan.	5
167	Yang antri banyak yang jaga hanya 1 orang, PAYAH. ...................	1
168	pesan 1 minuman dbat setengah jam sendiri	1
169	lokasi nya strategis dan pelayanan Ramah tetapi sayang tidak ada area untuk Dine in	4
170	tempat nya bersih, ada wastafel didalam, lahan parkir nya juga lumayan.. menu menu nya banyak variasi nya, untuk rasa itu sesuai selera masing masing, kalau saya personal, kurang suka sambal nya, terlalu berasa terasi nya	3
171	Tempat nyaman	4
172	Harga & rasa nyaman, tetap menjadi resto favorit	5
173	Toilet sering jorok, tempat nyaman	3
174	Ramah dan nyaman. Datang kesini sambil tunggu grooming anabul di pet & play,jam 09.50 masih sepi, showcase juga masih kosong belum di display  . tetapi tempat nya nyaman.	4
175	Tempat ngopi yang Nyaman dan Enak	5
176	Sayang smoking area nya cukup gerah/panas	5
177	Pagi pagi bawa teman untuk meeting di kafe, lihat lihat refrensi di google local guide, excelso gwalk salah satu cafe area citraland yang buka jam 8, tetapi apa? toko masih closed, karyawan didalam belum pakai seragam, bilang jam 9. Yang salah ini saya atau google yang nulis info jam 8.  Cuma pesan kopi, karena yang bertugas hanya 1 takut lama Parking: Parkir ada didepan tetapi terbatas	2
178	Ada nomor yang bisa di hubungi kah?	2
179	Tempat.nya Nyaman	5
180	tempat nya nyaman, suasana makin sore makin tenang cocok buat santai bareng keluarga	5
181	Pelayanan sangat ramah	5
182	Udang keju	5
183	Ingin naruh bintang kurang dari 1. sudah sering banget ke excelso dari masih kecil sampai sekarang sudah punya anak jadi sampai tahu menu nya kurang apa. Hari ini pesan spaghetti carbonara yang biasanya kental, yang pasti ada keju & parmesan. sekarang seperti hanya disiram susu :)!! sudah begitu sebelumnya kak bilang  maaf kak, kita keliru pesanan nya bikin fettucini, gapapa ya?  Mungkin karena aku tidak mau jadi dibikinin spaghetti susu HAHA! Selain itu pesan butterscotch frappio, tidak ada rasa nya :) kopi nya sepertinya dikasih 1ml saja ya??? tidak ada rasanyaa!! SUPER KESEL!! Kapok banget sudah gaakan mau lagi balik kesini :)	1
184	Seperti biasa selalu pesan kopken MANTAN less Sugar  .	5
185	Makanan enak, harga murah	5
186	Pertama kali saya menunggu makanan dan minuman berjam2 padahal tidak rame2 amat, minta bill juga lama, seharusnya harus lebih aktif nyesel banget makan di sini	1
187	Ada tempat buat merokok nya... tempat nya nyaman... Staff nya sopan... Dekat dari rumah....	5
188	sambal nya bikin tidak bisa move on	5
189	repeat order 2x karena suka hot matcha latte nya disini. kak nya juga ramah, malah ngomongin kalau mau ambil diluar bisa kok jadi tidak usah repot  jalan masuk ke dalam. dan menurut saya sama sekali tidak lama service nya. kalopun lama itu mungkin antrian nya lagi banyak. abaikan rating bintang 1 disini karena most likely itu yang rating ojol yang tidak bisa menunggu dengan sabar & kasi rating tidak objective.	5
190	kopi nya enak... Lebih enak dibanding beli yang kemasan di indomart atau alfamart, pelayanan baik dan cepat, harga lumayan	4
191	kopken Ciputra World Surabaya yang lokasi nya sekarang berada di Lt. lagi sebelah Ace Hardware	5
192	Pelayanan ramah, lagi banyak promo, tempat nya bersih, cocok buat ngobrol santai bareng teman	5
193	Cepat pelayanan	5
194	It was a nice place, but it wasnt crowded with people. The baristas are friendly and the coffee is delicious.	5
195	Kesini setiap weekend, promo nya lumayan..  tempat nya oke juga	5
196	kopi mantan andalan	5
197	lokasi di 2M ptc baru. tempat luas, nyaman berac. pelayanan kurang senyum, waktu itu saya pesan galantine, saus nya lupa tidak diberikan. penyajian cepat. harga menengah keatas karena plus pajak dan sc. rasa enak. dekorasi bagus, suasana ramai di weekend. penampilan masakan bagus, variasi menu banyak, tidak hanya steak saja ada spaghetti, nasgor, kidsmeal. harga steak rata2 100rb an. minuman teh 19k.	3
198	Sebagai pecinta minuman saya sangat merekomendasikan Chatime untuk menjadi pilihan pertama anda saat kehausan	5
199	Lumayan.	5
200	Untuk pelayanan nya cepat banget, chatime selalu mengembalikan mood yang lagi buruk  ditambah lagi lihat karyawan yang selalu ramah the best deh pokoknya	5
201	Tempat tidak terlalu luas cuma lumayan cozy ac dingin banget dan service nya mantap min nya ke toilet aga susah since tidak di dalam starbucks	5
202	Pesen apa di kasih apa, whipcream juga encer, take away beli 2 minuman tidak di kasih kantong. Sedotan pun menunggu minta baru di kasih. terus minum nya bagaimana gapake sedotan.  Pelayanan bad sekali.	1
203	Pelayanan sangat buruk dan pelayanan sangat lama dan buruk sekali dan sangat membuang waktu semua penjaga otlet nya sangat tidak sigap dan sering becanda di bagian dapur	1
204	TIPS JAJAN MURAH DI CUP BOB gm!! Tadi malam tiba-tiba pengen Corn dog dan Topokki Rose begitu. Jadi langsung cus ke Cup Bob x Chatime deket nya Ranch Market. langsung tanya dulu apa ada paket bundling yaa, karena memang tidak ada di menu nya. Jadi HARUS TANYA GUYS, tetapi BELUM TENTU ADA YA. Eh pas banget kemarin ada promo bundling, Corn Dog Sausage dan Toppoki/Rabokki Rose bisa pilih mau dikasih sausage / odeng. Harga bundling nya jadi 45 ribu. sebelumnya kalau tidak promo harga 55 ribu. Lumayan hemat 10 ribu. tempat nya seperti biasa lumayan ramai, karena memang Corn Dog nya enak banget tebel, fulfilling size. Tidak usah pakai saos lagi sudah enak. Dan aku juga ambil yang Rabokki Rose itu isi nya ada mie, odeng, toppoki, saus nya juga super kentel, meski seperti tempat nya kecil tetapi super enak fulfilling juga buat yang pengen snack-snack saja ini nyaman banget banget banget. Pelayanan nya oke. Cuma tempat nya kurang cepat ya dibersihkannya, jadi meja nya beberapa ada yang masih kotor, but it's nyaman mungkin karena ramai. Selebihnya I like and pasti balik lagi.	5
205	Pelayanan ramah dan cepat. Minuman enak	5
206	Banyak lah yang sudah tahu brand kopken, Makanan: tidak ada masalah, normal saja Layanan : sikap dan penyampaian informasi sudah mendukung Suasana : mungkin bukan ke arah suasana ya, lebih ke arah kebersihan dan tempat sampah nya 1. Ruangan Ac itu berdebu banget, itu yang franchise mohon minim atau bagaimana cara nya debu itu tidak sampai buat pengap, ac dicek sudah berdebu sangat atau tidak, atau beli mesin penyedot debu di ruangan Kan outlet ramai ya, jadi minim lah ya 2. Tempat sampah, mungkin dbat dengan kontak besar yang gtw fungsi nya apa, mulai lah upgrade saja yang kapasitas lebih besar, jadi kesan nya orang mau buang sampah saja jadi kek malas sudah lihat tempat sampahmu penuh saking ramai nyaa 3. Karyawan mu masak kelihatan cuma 1 orang di Weekend yang bisa saja ramai di malam hari, beberapa kali dateng cuma 1, kasihan, harus bersihkan, harus serve pelanggan Ini tidak salah karyawan, ini salah nya manajemen yang berjalan ya, bisa dicek ulang	2
207	mantap banget	5
208	Tolong diperhatikan lagi buat karyawan nya, masa dapat pesanan driver sampai belum di proses	1
209	Enak harga lumayan mahal tempat nongkrong nya enak	5
210	Menunggu pesanan terlalu lama	2
211	Banyak menu yang bisa dicoba, Nuansa interior nyaman Tersedia banyak soket/colokan Daftar member baru, free minum	5
212	makanan nya enak banget, trus suasana nya juga nyaman, lagu nya juga enak di dengar.	5
213	Steak nya enak, harga sesuai dengan kualitas masakan,  layanan dari pegawai nya memuaskan, tempat luas, dan suasana tenang. Recommended buat yang ingin makan masakan western dengan nyaman.	5
214	Seperti mie mapan pada umumnya	5
