REVIEW,LABEL
"Chatime favorit huzelnut .. pelayanannya oke , pegawainya ramah banget .. always beli di chatime royal deh pokoknya",5
Enakk... good choice kopi kenangan mantan,5
Enak pelayanan nya ramaha,5
"ok std kopken biasa, tempatnya gelap",5
"Tastenya ada pait2nya kopi n campur manis.. cocok juga minum ini.. biasa minum kopi saset aja di rumah.. jadi kurang mengerti taste kopi yg mantep itu bagaimana.. pelayanan cepet, ga sampe 5 menit uda ready.. Good service...",5
minusnya cuma 1 ada tukang PARKIR yg kurang bermanfaat. cuma mau ambil uang saja. motor tidak di tata.,3
Kopinya Mantab,5
Pelqyanan memuaskan,5
"Selalu ramai saat jam makan siang. Untuk makanannya lumayan, sambalnya joss",5
"Asyik buat santai,harga terjangkau, makanan enak , minuman jus kurang kental buahnya ditambah ya supaya mantap ya",5
"Tempatnya oke, minumannnya enak, pelayanannya bagus. Tukang parkirnya aja yg nyebelin. Parkir cuma bentar ambil pesanan, dan Gak bantu parkir tapi tetep minta uang",3
Ayam bakar primarasa makanannya cocok di lidah... Sambalnya enak dan menunya cukup banyak... Suasana yg nyaman menjadi keunggulan rumah makan ini... Saya sering ngajak teman dan keluarga ke sini,5
"Lumayan cepet dan pegawainya baik banget ngurus pesanan dan menjawab pertanyaan pelanggan, bahkan ketika minta tanpa tas dan pesannya banyak, dibantuin bawa sampai mobil",5
"Isian daging lumayan banyak. Kuahnya oke dan menurutku agak ringan. Mejanya lumayan banyak tapi kalo lagi rame banget, harus nunggu meja kosong. Lokasi pinggir jalan jadi gampang aksesnya. Nasi soto 20rb Es teh 5rb Kerupuk mawar 500",5
"Tempatnya nyaman dan pelayanannya ramah , recommend bgt buat nongkrong!!",5
Enak..karena pas lapar Apalagi ada diskon dr bca.. Mayan dunk.. Parking: Parkir sering penuh.. Jd pindah2 mobil gtu.. Mungkin lbh enak klo ngegrab aja,5
"Rasa makanannya enak on point. Mau bakar, goreng, tim, tumis, sup, semuanya enak. Nasi liwet dan gorengnya joss, ikannya favorit (terutama yang pesmol), kematangan sayurnya pas dan terasa segar, iganya oke punya, tahunya renyah sekaligus empuk, jusnya segar dan kental. Harga berbicara menyesuaikan dengan rasa dan kualitas. Vegetarian options: Sayurannya mantap lho Dietary restrictions: Secara keseluruhan, di sini cenderung sehat. Parking: Mobil parkir depan restoran, motor parkir di seberang restoran Kid-friendliness: Cocok untuk anak-anak. Disediakan kursi tinggi/high chair di sini Wheelchair accessibility: Masih bisa bila ada yang menggunakan kursi roda. Kursi dan meja bisa di-setting Akan lebih nyaman lagi bila menggunakan kursi roda dengan removable arm rest.",5
Tempatnya nyaman. Pelayanannya ramah dan cepat.,5
I ate them,5
"Suka banget sama suasana tempatnya, cocok buat acara keluarga maupun makan siang bareng temen temen kantor...varian menunya juga banyak gak cuma steak aja...waktu bayar juga ditawarin sama mbak mbaknya berbagai promo bank",5
Buat gojek GK ada parkirnya,5
Tempat nya bersih,5
"Tempatnya nyaman dan bersih,dan pelayanannya cukup bagus",5
Lantai 2 nyaman pol,5
Rasanya khas mantab dari dulu ngga pernah berubah,5
Tutup aja otlet yang di cito. Karyawan tidak niat kerja. Sudah di telp suruh buatkan pesanan. Bilangnya lgi banyak castamer atau gojek. Giliran di samperin otlet sepi ga ada pelanggan. Pecat saja karyawannya kalau males. masih banyak orang yg butuh pekerjaan,3
"dear owner atau admin excelso gwalk, securitynya tolong dikondisikan ya. masa pakai lampu strobo yang silau banget kelap kelip menyorot ke mata pengguna jalan hanya untuk menghentikan kendaraan. sudah gila ya? mau merusak mata pengendara atau bagaimana itu maksudnya? kalau tidak segera ditindak atau dibenahi, saya akan laporkan ke pihak berwajib karena itu dapat menyebabkan kecelakaan pengguna jalan dan dapat merusak mata pengendara.",5
Tempatnya bersih yaman parkir nya luas pegawai nya ramah 2 pelayanan nya cepat,5
"Tempat luas, sambel enak, harga affordable, teh ukuran jumbo",5
"Cocok buat kerja/meeting atau kerjakan tugas. Wifi ok, minuman ok, pelayanan ok",5
"Cepet banget penyajiannya, pas banget kalo lagi laper bgt pengen pengen steak ke sini aja hehe Parking: Ga susah cari parkirnya . Sukaaaa. Pelayanan juga cepat. Kalo lagi laper banget ini sih cocok",5
Pelayanan baik ramah tempat bersih barista nya ramah ramah dan kasirnya juga baik,5
Tempat yang nyaman untuk meeting,5
"Pegawai terlalu banyak bercanda, terutama untuk bagian dapur kurang cekatan banyak bercanda nyaa",3
"Kid-friendliness: Lots of kids toy around the plaza Wheelchair accessibility: Only access to entrance, no incline escalator Food : 3/5 |",5
"Menduakan driver ojol, pelayanannya lemot, jauh sama sekali dari karyawansebelumnya, bedah 100% pelayanannya, dari yg dulu, nyusain driver ojol,  nunggu lama  30 mnt lebih, ajur jum",5
"pelayanan yang tidak ramah, pada waktu itu saya ingin membeli produk promo bucin berdua dengan harga Rp.30.000 mendapatkan pilihan opsi 2 minuman dan bisa juga menebus murah roti/toast seharga 6rb atau 11rb dan itu opsional jika kita mau dan ingin menebus murah roti tersebut, tetapi saya tidak ingin menebusnya dan kasir beralibi kalau promo itu sudah termasuk roti padahal jelas tidak ada keterangan promo tersebut bundling dengan roti dan kasir memutar pc komputernya dihadapan saya dan menjelaskan kalau minuman opsi pilihan itu start from dari harga 30.000 padahal tidak ada keterangan start from dan mengira saya tidak tau arti dari promo tersebut dan sangat tidak sopan sekali dan tidak ramah, berbeda dengan outlet kopi kenangan yang pernah saya datangi mereka selalu ramah dan melayani dan menjelaskan secara baik kalau saya menanyakan menu atau promo yang lain tapi tidak dengan outlet kopi kenangan drive tru ahmad yani woncolo surabaya. sangat mengecewakan pelayanan kepada custamer.",5
"Colokan listrik mati semua , ga ada inisiatif di betulin , parah",5
Tolong diperhatikan pelayanan ya. Terutama  baju ya kurang rapi dan suasana yang panas,5
Enak dan banyak pilihan menu,5
Es boba yg sgt segar Lumayan buat pelepas dahaga setelah jalan2x di Tunjungan Plaza,5
Bagus ramah lingkungan menyenangkan menu yg di suguhkan enak harga terjangkau,5
Tempat meeting favorit,5
While waiting for an invitation,5
"Lokasi strategis, makanan agak mahal, rasa ok",5
"Dengan harga 98.000 sangat2 tidak recommended sih. Tau rasanya terikan? Nah ini mie di teriin, aroma dan cita rasa mienya kalah sama terinya, terinya dikit tapi jadi pemeran utama, yaudh kek makan teri pake kerupuk kulit. Mau comend di ig nya malah di batasi komentar. Es juga ya cuma gtu, manis kek seprit. Sempat beli juga pizza apa gtu, dgn harga 50an tapi kayak kulit pangsit. Taukan kulit pangsit yg 3000 dpt 25 lembar? Nah kek itu cuma dikasih keju ama garem. Cukup skali aja sih.",5
Tempat nongkrong paling asik dan tempatnya bersih,5
"Mantap, taste nya enak dan konsisten",5
"Selalu ga bisa lepas dr kopken,kali ini SPBU Ngagel pinggir kali .. Americano non sugar... Ga ada obat",5
"Sambelnya  , rasa tetap sejak dl",5
"Mantab, bersih",5
"makanya enakkk polll,karyawanya juga ramah2",5
Anjirrrrrr gak ramah sumpah emang salah yah beli minuman pakek rewards? Ta*lah,5
"Suasana yg cukup baik, namun sayang area dine in nya agak kecil",5
Temlat cukup oke.. bersih dan nyaman.. pelayanan juga oke,5
Belum pernah mencoba,5
Pelayanan ramah. Ovaltine macchiato fav,5
"Suasana enak, cozy, pelayanan baik ramah",5
"Langganan kalo pagi, cuma kalo pagi kasian bgt crewny cuma sendiri jadi lama apalagi kalo bnyk custnya. Mungkin bisa ditambah 2 org gt. Oiya satu lagi, biasanya ada 2 crew mas sm mba. Yg masnya super ramah, baik bgt sm cust. Kalo mbanya yg jilbaban ga pernah senyum  kek beban bgt ramah sm cust. Tolong di training lagi lah ya biar service excellent nya ok. Ta liat2 di reviewnya, mbanya sering dikomplain pelayanan tp ga ada followup   semangat pagi mba jgn mencureng ae",3
Pelayanan buruk sekali antri sejam sebelah baru datang saya sudah lama bgt belom diantar didatangin dicm maaf2 tanpa penjelasan!!!!,3
barista ramah dan toko nya bersih,5
Asyik tempatnya..... ada smoking room,5
Slalu beli disini pas ada promo. Tempatnya pun bersih. Karyawannya juga ramah2. Tempatnya dingin.,5
Tdk ada sistem pembayaran lelwt rkning.,5
Nasi gorengnyaa enakkkk,5
Yesterday I vape on guduk here,5
"Waduh service nya jelek tapi untuk soal makanan emang sudah terkenal enak brand mie mapan   note untuk owner nya, kasian sudah invest tapi staff nya males2an gabut 1. Tidak disapa, padahal tempat nya kosong 2. Tidak dikasih menu jadi saya harus ambil sendiri 3. Mau pesan makanan tapi di diemin malah berdua itu sibuk sendiri 4. Mau pesan makanan baru di info kalau harus ke kasir, padahal itu tempat kecil lho dan customer nya cuma kita saja dan dengan nada yang tidak welcoming sama sekali Mohon untuk owner nya lihat Feedback ini ya, biar menjadi lebih baik dan rame ke depan nya",5
"tetep jd destinasi utama kalau keluarga besar lagi berkunjung ke surabaya..  pilihan menunya beraneka ragam, yg jd andalan tentu saja ayam bakar dan gurame bakarnya",5
Hazenut milk tea nya mantafff,5
Pelayanan sangat lama masak pesenan 3 kotak aja 45 menit blm selesai.,3
"Tenderloinnya sukaa   ada menu buat kids juga anak2 suka, dapet minum sama eskrim. Pelayanannya juara",5
"Nyaman buat hangout, bisnis atau social meeting",5
Lumayaaaaan.. tapi saya kok lebih suka cabang satunya ya.,5
"Makanan enak , pelayanan cepet, karyawannya ramah dan harganya affordable",5
"Salah satu tempat makan favorit buat keluarga . Dulu biasanya makan di Surabaya setelah buka cabang di Sidoarjo sdh gak perlu jauh2 ke SBY lagi .Pelayanan nya bagus, makanan nya ok.",5
"Kemarin kesini karena hanya berdua pesan 2 menu niat hati pakai promo akulaku, tapi tidak bisa. Untuk tempat juga sangat kecil dan terbatas Menu : Paketa Pasal 1 ditambah Freezy 1 total harga Rp 56.000",5
enak layanan bagus untuk area dalam khusus untuk perokok area luar khusus buat yg tidak merokok,5
"Sangat nyaman buat nugas , enjoy banget",5
Cocok buat lunch dan makan kelompok,5
Enak makanannya. Ada porsi rame2 bisa untuk barengan sekeluarga. Recommended.,5
"manteb banget gacoan manyar, bestt pokoknya secara keseluruhan",5
Mie nya mantapp,5
"Harga dine in dan take away beda ( dengan jenis makanan yg sama persis ). Harga dine in lebih mahal. Dan setelah saya cek lwt ig resmi mie mapan dan ojol. Ternyata kasir menginput harga dine in saya menggunakan harga ojol yg jauh lebih mahal dari pada dine in. Sayangnya struk sudah terbuang jadi saya tidak punya bukti. ( Struk dine in dan take way saat itu diprint dalam 1 lembar kertas struk, tapi kenapa bisa harga yg dimunculkan oleh sistem berbeda ). Jika pihak mapan masih punya copyan struknya bisa di cek struk tgl 11/1/24. Agar tidak melakukan kesalahan yg sama ke customer lain. Krn ini sangat merugikan. Terima kasih",5
"pesan 4 gelas ukuran large senin 04 juli pk 10.00 .. SEMUA FULL OVER ES BATU .. sudah full masih dipaksa ditambah es batu .. Saya perhatikan, bukannya dikurangi malah terus ditambah sampai susu yang seharusnya dimasukkan di gelas, tidak bisa dimasukkan dan dibuang di wastafel .. Pelayan perempuan berjilbab",5
Makanan yang enak dan jadi langganan disini,5
"Makanan dan minumannya enak.. Pelayanannya bagus dan ramah, cepat juga. Ambience lumayan, suasananya enak, meskipun g tlalu besar tempatnya. Aku Suka sama caramel machiato Curcol: PakSu suka sama kopi kenangan mantan Sebenernya doi bnr2 suka sama kopinya, bukan karna teringat sama mantan. Tapi tiap aku order agak keki deh",5
"Parah banget, baru ini ke excelso ciputra pelayanan nya ga banget!!!! udah pesen dateng nya lama bgt hampir nunggu sejam, tapi maaf (etnis2chin*o) yg baru dateng aja cepet bgt pelayanan nya, saya pesen makanan hampir 2 jam ga di suguhin, tp yg baru dateng, cepet pelayanan nya, udah komplain tetep ga di gubris, 2 jam nunggu makanan akhir nya cuma di tanyain MBA UDAH BAYAR TA?. tolong jangan beda2in customer deh, pokok udh bisa beli makanan disitu ya berarti harus di layani dengan baik. jgn dilihat hanya dari model baju, pesenan!!!!",5
Lumayan kecil tempatnya tapi pw kok.,5
"tempatnya enak buat nyantai , ada makanannya dan banyak promonya juga . hazelnut coklat masih jadi minuman andalan saya",5
"Kembali lagi bersama bolang boleng family di sini kami memberikan review ulasan komentar dengan sejujur jujurnya ya gaes Tempat Nongki tipis tipis  by Kopi kenangan , Tempat bersih dan nyaman Untuk yang jaga cuma 1 orang Pelayanan nya baik ramah dan Gercep Terima kasih Sukses Selalu buat Pemilik Kopi kenangan dan Para Tim nya Salam Sukses dari kami Bolang boleng Family",5
Makanan enak .pelayanan cepat.tempat e panas banget meski kipas angin SDH muter semua,5
Bagus tempatnya,5
"TP 6 level3, didekat bank BRI, BCA, Niaga, Mandiri. Bersih tempatnya. Tempat duduk sedikit jd klo rame harus berdiri.",5
Tempat asik.. Luas.. Lebih sepi daripada di HR.. Jadi bisa lebih nyaman nongkrong disini.. Parkiran sangat luas,5
"kebagian cuma roti nya aja hahaha kata temen, kopinya uda diabisin tinggal roti tok asyeeemmmm.. gapapa lah, rotinya juga enak kok lembut tapi biasa aja kurang berasa premium gatau deh berapaan, dikasih temen soalnya.. rasa keju nya ga yg ngeju bgt, malah agak manis",3
mantap poooolll rasanya,5
Beli mie mapan area ruko makro pepelegi,5
Rotinya enak.. kopi kenangan mantan nya mantap,5
Juaranya soto lamongan,5
Otlet tutup padahal sudah jam 10.33,5
sedikit antri tapi stafnya cepat,5
Tempat yg enak utk meeting. Es kopi nya beragam menunya. Harga relatif terjangkau.,5
Kopi kenangan mantan sangat menjadi favorit dan suasana disini cocok untuk kerja kelompok ataupun nugas sendirian,5
Terima ksh banyak mbak karyawan yg berjilbab pake kacamata....disampning FAST respon baik dan saya yg kelupaan bawa masker coba bertnya pake masker apa tidak kl naek kereta... Dijawab pake Bpk dan diksh solusi dgn memberi masker untuk saya.... Sekali lagi trima ksh bnyak sm mbak yg tidak th namanya yg berjilbab dan bermasker.... Smg selalu dijalur kebaikan selalu,5
"Promo di steak hut,banyak buanged bro,makan steak dgn harga terjangkau,monggo klo di surabaya jgn lupa mampir.",5
Pelayanannya cukup lama tidak seperti di mie mapan lainnya,5
"Starbucks yang ada di dalam mall, lantai tinggi, dan ada open area, sangat cocok untuk ngobrol ketemu, sambil kerja, atau menikmati view, staff sangat ramah, kebersihan terjaga.",5
"Deket sama rumah, jadi hemat bensin",5
Cromboloninyaa enak poll,5
Tolong kalao melayani tu harus seyum kalao ada masalah d rumah jangan d bawak ke tempat kerja jadi kurang sopan. Baru kali ini makan di mie mapan imam bonjol karyawan ya melayani kurang seyum  di lestoran lain aja melayani ramah 2 dan sangat sopan,5
Minuman nya ada yang kurang manis,5
"Tetap terbaik dari dulu ,belom ada lawan sepadan.mulai dari makanan pelayan dan minumannya",5
Makannya enak pelayanan juga rama,5
Menu2nya banyak yang enak.,5
"Makan siang berlima pesennya penyetan keroyokan Ada bakwan, empal, terong, tahu, tempe, ayam , udang, telor dadar. Begitu datang lgs sikatt..... Siapa cepat dia dpt Sambel mantep gak usah di ragukan lagi Makyuss Tempat nya lumayan besar.",5
"Bagus, nyaman, buat nongkrong sama temen keluarga rekan... Tapi maaf pelayanannya agak lambat Vegetarian options: Ada beberapa pilihan salad untuk dicoba",5
Terbaik chatimenya enak sekali bosku,5
Tempat bersih dan tenang,5
"Tempatnya enak dan dingin, apalagi di lantai 2 nya cocok buat nugas... ada balkonnya jugaaa",5
"Honest Review here we go! Kesini mau cobain signature minumannya.. terus cobain deh yang chocolate signature.. overall sangat enak rasanya.. sesuai harapan saya.. ada promo dapat free croissant / es krim, saya pilih croissant.. Pelayanan baik dan ramah.. Tempat cukupan luas dan tidak sempit / nyaman.. Bersih juga.. nampan agak sedikit kotor.. Harga 35-50rb / minuman ya",5
"Orang pesan malah suruh nungguin krna close order pergantian shif , baru kali ini dapat pelayanan sagat tdk enak , perbaiki pelayanan nya",3
"Makanannya enak2, terutama mie ototnya. Dari harga emang termasuk harga yang premium.",5
"Cabang terbaik bon ami. Konon beberapa orang berpendapat masakannya paling enak juga. Sayang tidak ada pastrynya. Desain ruangan lebih mewah, walau parkir cukup terbatas. Pelayannya ramah dan helpfull.",5
"tempatnya nyaman, bersih, dan sangat menyenangkan",5
Its just late,5
cafe dalam mall cocok utk tempat ngopi sambil rehatkan kaki krn cape jalan2 disupermall yg gede.,5
Dari masa ke masa rasa masakannya gak berubah,5
Suka bgt chatime disini diluar pelayanan rasa chatimenya enak poll menu cupbobnya jga enak Kid-friendliness: Rekomendasi menu kesukaan bocil hotdaak sama grasjelly greshmilk enak bgt,5
makanan enak sesuai dengan harganya,5
sudah tutup ?,5
sebagai pecinta minuman saya rekomendasikan Resto ini menjadi pilihan pertama disaaat kehausan varian rasa yg banyak dan pelayanan pegawai yg ramah sangat rekomended bagi pecinta Boba,5
"Selama saya kesini g ada yg minus.. pelayanan cekatan, hebat nya tanpa d tulis 5 menu keluar tidak ada yg salah sesuai note.. hehe.. terimakasih..",3
"Tempat luas, tumbler banyak, namun kadang ketemu barista yang suka error dalam membuat pesanan",5
"Sudah antri lah kok disuruh nunggu lagi,,sytem nya gmn sih gak jelas banget",5
Makanannya enak. Saya suka empal dan bakwannya. Sambalnya juga mantap.,5
Pelayanan oke,5
"Kopi Kenangan buka stand baru di Royal Plaza. Ini di area dekat Hypermart. Ini aku pesan Kopi Kenangan Mantan (kopi, susu dan aren). Harganya 18.000 ukuran Reguler, 25.000 ukuran Large. Pelayanan baik, kasir dan baristanya menggunakan masker. Tempatnya bersih dan rapi.",5
Enakk kopinya apalagi kalau diskon pale blu bca hehe,5
Untuk ojol pesanan lama gak kaya outlet lain yg sudah sedia meskipun ramai,5
Waaaw bingitsssss,5
"Gk ramah dikantong, mana skrg nambah ceker kepala gk dikasi.. jd gk spesial kayak duluuu..",5
"Mienya enk ,letak restonya jg gampang di cari",5
